algorithm,seed,target_reached,target_C_miss,target_C_attempt,S_miss,S_attempt,initialization_misses,offspring_attempts,offspring_cache_misses,individual_offspring_ratio
muplus1,0,True,11337,15562,11337,15562,64,15498,11273,1.3747893196132353
muplus1,1,True,2121,2650,2121,2650,64,2586,2057,1.2571706368497813
muplus1,2,True,5992,8981,5992,8981,64,8917,5928,1.504217273954116
muplus1,3,True,5118,7459,5118,7459,64,7395,5054,1.463197467352592
muplus1,4,True,10117,14234,10117,14234,64,14170,10053,1.4095294936834775
muplus1,5,False,,,20001,20001,64,25653,19936,1.2867676565008026
muplus1,6,True,16154,21030,16154,20001,64,20966,16090,1.3030453697949036
muplus1,7,True,5295,6582,5295,6582,64,6518,5231,1.2460332632383866
muplus1,8,True,8906,11464,8906,11464,64,11400,8842,1.289301063107894
muplus1,9,True,13186,17055,13186,17055,64,16991,13122,1.2948483462886755
muplus1,10,True,8518,11037,8518,11037,64,10973,8454,1.2979654601372133
muplus1,11,True,9488,11417,9488,11417,64,11353,9424,1.2046901528013583
muplus1,12,True,5591,7554,5591,7554,64,7490,5527,1.3551655509317895
muplus1,13,True,6128,7818,6128,7818,64,7754,6064,1.278693931398417
muplus1,14,False,,,20001,20001,64,24729,19936,1.240419341894061
muplus1,15,True,7159,8364,7159,8364,64,8300,7095,1.1698379140239605
muplus1,16,True,4179,5284,4179,5284,64,5220,4115,1.2685297691373025
muplus1,17,True,9160,11218,9160,11218,64,11154,9096,1.2262532981530343
muplus1,18,True,4834,6574,4834,6574,64,6510,4770,1.3647798742138364
muplus1,19,True,14448,17221,14448,17221,64,17157,14384,1.1927836484983314
muplus1,20,True,7344,8574,7344,8574,64,8510,7280,1.168956043956044
muplus1,21,True,5942,7855,5942,7855,64,7791,5878,1.3254508336168764
muplus1,22,True,9624,12161,9624,12161,64,12097,9560,1.2653765690376568
muplus1,23,True,7910,10597,7910,10597,64,10533,7846,1.3424674993627326
muplus1,24,True,4832,6254,4832,6254,64,6190,4768,1.298238255033557
muplus1,25,True,6405,8712,6405,8712,64,8648,6341,1.3638227408926036
muplus1,26,True,11680,14696,11680,14696,64,14632,11616,1.2596418732782368
muplus1,27,True,11492,14312,11492,14312,64,14248,11428,1.246762338116906
muplus1,28,False,,,20001,20001,64,27832,19936,1.396067415730337
muplus1,29,True,8275,10195,8275,10195,64,10131,8211,1.2338326635001826
generational,0,True,11301,13222,11301,13222,64,13158,11237,1.1709531013615733
generational,1,True,15640,17871,15640,17871,64,17807,15576,1.1432331792501285
generational,2,True,15588,16664,15588,16664,64,16600,15524,1.0693120329811905
generational,3,True,8782,9231,8782,9231,64,9167,8718,1.0515026382197752
generational,4,True,4994,5489,4994,5489,64,5425,4930,1.1004056795131847
generational,5,True,14371,15963,14371,15963,64,15899,14307,1.1112742014398547
generational,6,True,2369,2512,2369,2512,64,2448,2305,1.0620390455531454
generational,7,True,8063,8980,8063,8980,64,8916,7999,1.1146393299162396
generational,8,True,19208,21401,19208,20001,64,21337,19144,1.1145528625156707
generational,9,False,,,20001,20001,64,21903,19936,1.0986657303370786
generational,10,True,17223,19744,17223,19744,64,19680,17159,1.1469199836820327
generational,11,True,17830,19614,17830,19614,64,19550,17766,1.1004165259484409
generational,12,True,10724,11739,10724,11739,64,11675,10660,1.0952157598499062
generational,13,True,12564,14390,12564,14390,64,14326,12500,1.14608
generational,14,True,13639,15506,13639,15506,64,15442,13575,1.1375322283609577
generational,15,True,9377,10677,9377,10677,64,10613,9313,1.1395898206807689
generational,16,True,6957,7769,6957,7769,64,7705,6893,1.117800667343682
generational,17,False,,,20001,20001,64,22587,19936,1.1329755216693418
generational,18,True,10084,10898,10084,10898,64,10834,10020,1.0812375249500998
generational,19,True,19442,21621,19442,20001,64,21557,19378,1.1124471049643927
generational,20,False,,,20001,20001,64,21887,19936,1.09786316211878
generational,21,False,,,20001,20001,64,23261,19936,1.1667837078651686
generational,22,True,13429,14318,13429,14318,64,14254,13365,1.0665170220725777
generational,23,True,12964,15031,12964,15031,64,14967,12900,1.160232558139535
generational,24,False,,,20001,20001,64,22379,19936,1.1225421348314606
generational,25,True,13052,14982,13052,14982,64,14918,12988,1.148598706498306
generational,26,True,6533,7297,6533,7297,64,7233,6469,1.118101715875715
generational,27,True,7972,9034,7972,9034,64,8970,7908,1.1342943854324734
generational,28,True,6829,7304,6829,7304,64,7240,6765,1.0702143385070215
generational,29,False,,,20001,20001,64,22485,19936,1.1278591492776886
