seed,serial_success,batch16_success,serial_first_hit,batch16_first_hit,serial_final_best,batch16_final_best,serial_runtime_seconds,batch16_runtime_seconds
0,False,False,50001,50001,87,90,0.515570875,0.070303583
1,False,False,50001,50001,93,92,0.523191333,0.068524583
2,False,False,50001,50001,90,90,0.518483958,0.067190708
3,False,False,50001,50001,87,93,0.521018375,0.067493625
4,False,False,50001,50001,92,92,0.5216135,0.067524875
5,False,False,50001,50001,92,89,0.523378875,0.067400542
6,False,False,50001,50001,90,91,0.521881292,0.067837834
7,False,False,50001,50001,87,87,0.561616125,0.076571833
8,False,False,50001,50001,88,91,0.523469834,0.067816542
9,False,False,50001,50001,92,91,0.522242667,0.069478166
10,False,False,50001,50001,88,88,0.553498666,0.068705292
11,False,False,50001,50001,92,92,0.544890125,0.067751542
12,False,False,50001,50001,88,93,0.522712542,0.06806725
13,False,False,50001,50001,94,87,0.524046125,0.067925
14,False,False,50001,50001,91,91,0.522948,0.067738
15,False,False,50001,50001,91,93,0.529062416,0.068476125
16,False,False,50001,50001,85,90,0.527629791,0.070281875
17,False,False,50001,50001,90,89,0.537600125,0.06832425
18,False,False,50001,50001,90,92,0.525726625,0.068037209
19,False,False,50001,50001,91,92,0.538401167,0.073503208
20,False,False,50001,50001,88,90,0.527737542,0.0679365
21,False,False,50001,50001,89,90,0.546183792,0.073496792
22,False,False,50001,50001,91,91,0.54388375,0.067852375
23,False,False,50001,50001,94,91,0.535527083,0.0693835
24,False,False,50001,50001,87,92,0.524379708,0.067792333
25,False,False,50001,50001,89,91,0.519349125,0.067963375
26,False,False,50001,50001,88,90,0.52203325,0.068028416
27,False,False,50001,50001,94,89,0.55488875,0.068534958
28,False,False,50001,50001,93,91,0.540000084,0.075691375
29,False,False,50001,50001,88,94,0.523400375,0.067666917
