analysis,block_id,start_seed,end_seed,selected_rule,U_dev,N_eligible,U_hold,H,D,n_eligible_rules
overlapping,0,0,47,1,0.256459500399,6024,0.266992800371,1.04107198195,1,6
overlapping,1,1,48,1,0.267980286134,6028,0.257901599801,0.962390194897,1,6
overlapping,2,2,49,1,0.275877033129,6050,0.259830401368,0.941834115079,1,6
overlapping,3,3,50,1,0.278652068205,6046,0.260116283338,0.933480540853,1,6
overlapping,4,4,51,1,0.28124407509,6040,0.273791954207,0.973503012001,1,6
overlapping,5,5,52,1,0.280527062973,6069,0.271334835935,0.967232298587,1,6
overlapping,6,6,53,1,0.278794738465,6051,0.272080168036,0.975915720412,1,6
overlapping,7,7,54,1,0.283116733605,6063,0.266948214933,0.942890981872,1,6
overlapping,8,8,55,1,0.288179611493,6066,0.266223743062,0.92381186054,1,6
overlapping,9,9,56,1,0.294638724594,6052,0.272856994449,0.926073091122,1,6
overlapping,10,10,57,1,0.290930047668,6041,0.27396066215,0.941671939168,1,6
overlapping,11,11,58,1,0.285963443781,6052,0.279140117165,0.976139164763,1,6
overlapping,12,12,59,1,0.287837928559,6055,0.278237730451,0.966647209573,1,6
overlapping,13,13,60,1,0.289471207052,6053,0.279565686572,0.96578063642,1,6
overlapping,14,14,61,1,0.28482897745,6061,0.285782402377,1.0033473593,1,6
overlapping,15,15,62,1,0.274628348275,6069,0.292520865964,1.06515175072,1,6
overlapping,16,16,63,1,0.267503185943,6087,0.290275455539,1.08512896591,1,6
overlapping,17,17,64,1,0.265379072156,6083,0.287778956384,1.08440712392,1,6
overlapping,18,18,65,1,0.261609921315,6100,0.285378680901,1.09085572698,1,6
overlapping,19,19,66,1,0.249103782382,6089,0.282043858125,1.13223434598,0,6
overlapping,20,20,67,1,0.254941999372,6066,0.283181678394,1.1107690341,1,6
overlapping,21,21,68,1,0.256291432155,6072,0.279621071776,1.09102777812,1,6
overlapping,22,22,69,1,0.251405536235,6082,0.279860944855,1.11318529037,1,6
overlapping,23,23,70,1,0.254920841013,6111,0.275778112313,1.08181861952,1,6
overlapping,24,24,71,1,0.252762884926,6096,0.278640495996,1.10237899871,1,6
overlapping,25,25,72,1,0.261399511784,6089,0.273262047507,1.04538086411,1,6
overlapping,26,26,73,1,0.26376297586,6088,0.26484192049,1.00409058408,1,6
overlapping,27,27,74,1,0.262237320605,6086,0.257396353114,0.98153974621,1,6
overlapping,28,28,75,1,0.259704249589,6072,0.263228918206,1.01357185577,1,6
overlapping,29,29,76,1,0.255667161632,6069,0.264800487748,1.03572350104,1,6
overlapping,30,30,77,1,0.265912164391,6059,0.259824125555,0.977105075842,1,6
overlapping,31,31,78,1,0.270864621235,6050,0.256243526715,0.946020656175,1,6
overlapping,32,32,79,1,0.269402561734,6056,0.261924789495,0.972243128683,1,6
overlapping,33,33,80,1,0.271779221328,6048,0.252040332898,0.92737160577,1,6
overlapping,34,34,81,1,0.271143973286,6054,0.24695590307,0.910792521321,1,6
overlapping,35,35,82,1,0.272565187472,6067,0.239484629678,0.878632491181,1,6
overlapping,36,36,83,1,0.276925105739,6076,0.242553923137,0.875882749922,1,6
overlapping,37,37,84,1,0.269433364534,6093,0.244745927906,0.908372756022,1,6
overlapping,38,38,85,1,0.269242127525,6099,0.246528471109,0.915638549495,1,6
overlapping,39,39,86,1,0.276688998097,6122,0.249754108768,0.902652835803,1,6
overlapping,40,40,87,1,0.278546132187,6119,0.256796697007,0.92191801405,1,6
overlapping,41,41,88,1,0.27930743201,6127,0.259441789727,0.9288753538,1,6
overlapping,42,42,89,1,0.280698864703,6119,0.265921457723,0.94735494568,1,6
overlapping,43,43,90,1,0.282041705789,6126,0.266068512809,0.943365847489,1,6
overlapping,44,44,91,1,0.286005950565,6120,0.274523559513,0.959852614851,1,6
overlapping,45,45,92,1,0.286494597082,6140,0.275128972754,0.960328660841,1,6
overlapping,46,46,93,1,0.28513279987,6143,0.275628456138,0.966666957516,1,6
overlapping,47,47,94,1,0.284066035065,6170,0.274043051773,0.964716009466,1,6
overlapping,48,48,95,1,0.285124088773,6170,0.275211484963,0.965234071058,1,6
overlapping,49,49,96,1,0.281958188803,6181,0.281139884795,0.997097782434,1,6
overlapping,50,50,97,1,0.275433650397,6172,0.278119401058,1.0097509896,1,6
overlapping,51,51,98,1,0.275027638618,6172,0.281459437806,1.02338601029,1,6
overlapping,52,52,99,1,0.273180276572,6176,0.283570128651,1.03803295102,1,6
overlapping,53,53,100,1,0.270151042288,6157,0.279958785639,1.03630466597,1,6
overlapping,54,54,101,1,0.275112677066,6181,0.274774602603,0.998771141822,1,6
overlapping,55,55,102,1,0.266101420946,6179,0.276774238331,1.04010808115,1,6
overlapping,56,56,103,1,0.261159702821,6178,0.284744047369,1.09030621606,1,6
overlapping,57,57,104,1,0.258460726877,6187,0.279392875675,1.08098773477,1,6
overlapping,58,58,105,1,0.262998825824,6175,0.280239088627,1.06555262271,1,6
overlapping,59,59,106,1,0.268411540772,6166,0.278154905266,1.03630009524,1,6
overlapping,60,60,107,1,0.266088805069,6165,0.277045946048,1.04117851172,1,6
overlapping,61,61,108,1,0.256273787072,6161,0.281022890479,1.09657290232,1,6
overlapping,62,62,109,1,0.253654154989,6147,0.29022168481,1.14416294432,1,6
overlapping,63,63,110,1,0.256884890145,6144,0.278821347976,1.08539411493,1,6
overlapping,64,64,111,1,0.257601957419,6134,0.277733555532,1.07815001995,1,6
overlapping,65,65,112,1,0.265141785806,6137,0.275524548305,1.03915928403,1,6
overlapping,66,66,113,1,0.266856843218,6133,0.279673521338,1.048028291,1,6
overlapping,67,67,114,1,0.270145350596,6141,0.281394842218,1.04164236622,1,6
overlapping,68,68,115,1,0.269495702605,6160,0.277326355918,1.02905669084,1,6
overlapping,69,69,116,1,0.269965751885,6150,0.274350142558,1.016240544,1,6
overlapping,70,70,117,1,0.267929423193,6158,0.272219822739,1.01601317054,1,6
overlapping,71,71,118,1,0.275444640244,6137,0.282042347566,1.02395293412,1,6
overlapping,72,72,119,1,0.275670975725,6139,0.271491826765,0.98484008355,1,6
overlapping,73,73,120,1,0.266406290361,6137,0.275962763794,1.035871801,1,6
overlapping,74,74,121,1,0.267341518702,6134,0.282359324193,1.05617460978,1,6
overlapping,75,75,122,1,0.265887227587,6118,0.290263269011,1.091678121,1,6
overlapping,76,76,123,1,0.268764548413,6125,0.279236326127,1.03896264509,1,6
overlapping,77,77,124,1,0.273115161359,6148,0.277880289819,1.01744732309,1,6
overlapping,78,78,125,1,0.262259863135,6159,0.27373117812,1.04374026147,1,6
overlapping,79,79,126,1,0.258472162419,6162,0.272383736578,1.05382233053,1,6
overlapping,80,80,127,1,0.260795327948,6145,0.266902526559,1.0234175921,1,6
overlapping,81,81,128,1,0.250463529607,6146,0.27233923635,1.08734088663,1,6
overlapping,82,82,129,1,0.247765387496,6132,0.27386341677,1.10533363654,0,6
overlapping,83,83,130,1,0.241873073169,6119,0.278673873281,1.15214922285,0,6
overlapping,84,84,131,1,0.236035902524,6108,0.272815446523,1.15582182035,0,6
overlapping,85,85,132,1,0.237913803166,6108,0.271697946335,1.14200161033,0,6
overlapping,86,86,133,1,0.226885997052,6106,0.272663863997,1.2017659421,0,6
overlapping,87,87,134,1,0.213861751046,6103,0.267631891021,1.25142476255,0,6
overlapping,88,88,135,1,0.210901455651,6112,0.269598691906,1.27831593705,0,6
overlapping,89,89,136,1,0.200510030458,6099,0.266654147435,1.32987934232,0,6
overlapping,90,90,137,4,0.205166053956,6092,0.190413283249,0.928093510488,0,6
overlapping,91,91,138,4,0.199472958651,6102,0.188305142811,0.944013384495,0,6
overlapping,92,92,139,4,0.197956304393,6104,0.186557260863,0.942416365245,0,6
overlapping,93,93,140,3,0.189868689578,6096,0.220224680184,1.15987886509,0,6
overlapping,94,94,141,4,0.192449938898,6127,0.192863504026,1.00214894912,0,6
overlapping,95,95,142,3,0.201896724288,6097,0.213973613396,1.05981716221,0,6
overlapping,96,96,143,3,0.20087554744,6091,0.211083190739,1.05081575846,0,6
overlapping,97,97,144,3,0.196495165311,6092,0.219705465991,1.11812148479,0,6
overlapping,98,98,145,1,0.204825059009,6046,0.269974631332,1.31807422704,0,6
overlapping,99,99,146,5,0.1994432149,6067,0.207521673528,1.04050505619,0,6
overlapping,100,100,147,1,0.199602301524,6048,0.263757654327,1.32141589707,0,6
overlapping,101,101,148,3,0.203559869596,6087,0.213962285621,1.05110248914,0,6
overlapping,102,102,149,1,0.201236607492,6037,0.287972787647,1.43101591324,0,6
overlapping,103,103,150,1,0.214634826596,6039,0.288639482559,1.34479332705,0,6
overlapping,104,104,151,1,0.219968887835,6042,0.285782942974,1.29919710822,0,6
overlapping,105,105,152,1,0.217816112168,6049,0.287442987418,1.31965897544,0,6
overlapping,106,106,153,1,0.215823562037,6085,0.285633541601,1.32345856451,0,6
overlapping,107,107,154,1,0.218084847643,6094,0.285235966834,1.30791281429,0,6
overlapping,108,108,155,1,0.219348102495,6106,0.2903707705,1.32378975335,0,6
overlapping,109,109,156,1,0.227801359232,6113,0.279538334248,1.22711442631,0,6
overlapping,110,110,157,1,0.228880545765,6128,0.265777316852,1.16120536135,0,6
overlapping,111,111,158,1,0.231163800897,6125,0.272790506153,1.18007449737,0,6
overlapping,112,112,159,1,0.22452929482,6126,0.272456363341,1.21345574777,0,6
overlapping,113,113,160,1,0.22409508434,6123,0.275030680672,1.22729457222,0,6
overlapping,114,114,161,1,0.22891634973,6129,0.272618885906,1.19091050607,0,6
overlapping,115,115,162,1,0.22667044078,6119,0.276823724369,1.22126080232,0,6
overlapping,116,116,163,1,0.226163774904,6108,0.278266508542,1.23037612306,0,6
overlapping,117,117,164,1,0.23373941458,6126,0.28322999035,1.21173397674,0,6
overlapping,118,118,165,1,0.237204769437,6125,0.286541504284,1.20799217049,0,6
overlapping,119,119,166,1,0.241234596104,6131,0.281433962544,1.16664013823,0,6
overlapping,120,120,167,1,0.237069517071,6129,0.289190852791,1.21985675916,0,6
overlapping,121,121,168,1,0.241974724139,6136,0.281413105254,1.16298554014,0,6
overlapping,122,122,169,1,0.239463046019,6148,0.27954245792,1.16737201237,0,6
overlapping,123,123,170,1,0.239679652817,6152,0.275549383871,1.14965697184,0,6
overlapping,124,124,171,1,0.239761560864,6141,0.281052949727,1.17221855211,0,6
overlapping,125,125,172,1,0.234894177059,6137,0.281522371995,1.19850724067,0,6
overlapping,126,126,173,1,0.243557409604,6133,0.277383721123,1.13888434589,0,6
overlapping,127,127,174,1,0.242284813,6121,0.278502767868,1.14948503961,0,6
overlapping,128,128,175,1,0.24653430255,6150,0.276686779484,1.12230540181,0,6
overlapping,129,129,176,1,0.249843214815,6160,0.270494890203,1.08265854009,0,6
overlapping,130,130,177,1,0.256549140972,6163,0.271619432814,1.05874232042,1,6
overlapping,131,131,178,1,0.264229874152,6172,0.275683596198,1.04334756652,1,6
overlapping,132,132,179,1,0.263363060443,6195,0.276965637874,1.05164952673,1,6
overlapping,133,133,180,1,0.257835836176,6202,0.278546682085,1.0803257073,1,6
overlapping,134,134,181,1,0.262712131657,6195,0.279622734018,1.06436932415,1,6
overlapping,135,135,182,1,0.271638183299,6206,0.291049076654,1.07145863339,1,6
overlapping,136,136,183,1,0.26416437534,6208,0.287209247113,1.08723686433,1,6
overlapping,137,137,184,1,0.273979736196,6221,0.280476485248,1.02371251663,1,6
overlapping,138,138,185,1,0.276622585284,6219,0.282614827897,1.02166215968,1,6
overlapping,139,139,186,1,0.275290804255,6228,0.275535285594,1.00088808393,1,6
overlapping,140,140,187,1,0.275520296703,6236,0.280044469984,1.01642047187,1,6
overlapping,141,141,188,1,0.282415230879,6250,0.279690902823,0.990353466251,1,6
overlapping,142,142,189,1,0.283330912286,6265,0.277782746766,0.980418072015,1,6
overlapping,143,143,190,1,0.280857069139,6270,0.267007330198,0.950687590015,1,6
overlapping,144,144,191,1,0.280293521161,6280,0.27059589178,0.965401878214,1,6
overlapping,145,145,192,1,0.276590111515,6285,0.272007788309,0.983432801772,1,6
overlapping,146,146,193,1,0.270116396001,6313,0.262654525399,0.9723753511,1,6
overlapping,147,147,194,1,0.271210084986,6310,0.270901865258,0.998863538837,1,6
overlapping,148,148,195,1,0.267963731665,6306,0.26615262843,0.993241237449,1,6
overlapping,149,149,196,1,0.263633712659,6309,0.258402055608,0.980155584057,1,6
overlapping,150,150,197,1,0.257831037027,6301,0.248740251556,0.964741306648,1,6
overlapping,151,151,198,1,0.257936354514,6296,0.250211201027,0.970050156361,1,6
overlapping,152,152,199,1,0.257449064274,6305,0.239559160916,0.930510901609,1,6
overlapping,153,153,200,1,0.261759972968,6302,0.2338200308,0.893261212357,1,6
overlapping,154,154,201,1,0.261780711256,6284,0.230933684573,0.882164631098,1,6
overlapping,155,155,202,1,0.2527113736,6272,0.227961843785,0.902064044594,1,6
overlapping,156,156,203,1,0.245914014646,6263,0.234521953053,0.953674614238,0,6
overlapping,157,157,204,1,0.239711847316,6273,0.243851462105,1.01726912889,0,6
overlapping,158,158,205,1,0.237612633989,6264,0.247771190214,1.04275259297,0,6
overlapping,159,159,206,1,0.237215926787,6252,0.247585169681,1.04371225421,0,6
overlapping,160,160,207,1,0.24535563926,6247,0.237822311108,0.96929629099,0,6
overlapping,161,161,208,1,0.243019088311,6250,0.239167018542,0.984149106163,0,6
overlapping,162,162,209,1,0.240050223192,6223,0.242389170507,1.00974357484,0,6
overlapping,163,163,210,1,0.242792514598,6220,0.241436506207,0.994414949763,0,6
overlapping,164,164,211,1,0.238504714025,6224,0.246031040258,1.03155629969,0,6
overlapping,165,165,212,1,0.233101414087,6217,0.245628656177,1.05374159629,0,6
overlapping,166,166,213,1,0.229870806255,6190,0.244292287022,1.0627373306,0,6
overlapping,167,167,214,1,0.219010926472,6201,0.240447170209,1.09787750813,0,6
overlapping,168,168,215,1,0.220002747199,6207,0.237540719186,1.07971705904,0,6
overlapping,169,169,216,1,0.216839362615,6206,0.249475766794,1.15050959284,0,6
overlapping,170,170,217,1,0.215070966405,6191,0.249327014474,1.15927788228,0,6
overlapping,171,171,218,1,0.222123695169,6210,0.250040162374,1.12567982531,0,6
overlapping,172,172,219,1,0.226554350283,6216,0.248646620757,1.09751421876,0,6
overlapping,173,173,220,1,0.234356870047,6208,0.250035815281,1.06690200817,0,6
overlapping,174,174,221,1,0.229184772002,6209,0.251392486526,1.09689873515,0,6
overlapping,175,175,222,1,0.22498390775,6214,0.248458790438,1.10434027448,0,6
overlapping,176,176,223,1,0.218131669803,6200,0.251324928879,1.15217074671,0,6
overlapping,177,177,224,1,0.222596234198,6199,0.255979100744,1.14997049104,0,6
overlapping,178,178,225,1,0.217457352215,6208,0.255021976254,1.17274478723,0,6
overlapping,179,179,226,1,0.217109583686,6200,0.247506164896,1.14000570907,0,6
overlapping,180,180,227,1,0.221956434432,6193,0.240877113468,1.08524501254,0,6
overlapping,181,181,228,1,0.225629773202,6178,0.234544202473,1.03950909999,0,6
overlapping,182,182,229,1,0.219109317591,6177,0.230143846005,1.05036083602,0,6
overlapping,183,183,230,1,0.225226122089,6164,0.227111557635,1.00837130049,0,6
overlapping,184,184,231,1,0.222340756238,6148,0.225316047011,1.01338167066,0,6
overlapping,185,185,232,1,0.219757119715,6155,0.227480631401,1.03514567217,0,6
overlapping,186,186,233,1,0.220561535503,6166,0.221651099897,1.00493995651,0,6
overlapping,187,187,234,1,0.221146552295,6177,0.224841511187,1.01670819126,0,6
overlapping,188,188,235,1,0.223777204243,6159,0.22566635279,1.00844209558,0,6
overlapping,189,189,236,1,0.217924159669,6146,0.223344853747,1.02487422269,0,6
overlapping,190,190,237,1,0.220443007359,6139,0.22263048961,1.00992311926,0,6
overlapping,191,191,238,1,0.219344301719,6131,0.231391217164,1.05492239985,0,6
overlapping,192,192,239,1,0.226852759358,6134,0.233283381147,1.02834711734,0,6
overlapping,193,193,240,1,0.228416413403,6145,0.230669316162,1.00986313867,0,6
overlapping,194,194,241,1,0.230356253019,6116,0.241779973711,1.0495915372,0,6
overlapping,195,195,242,1,0.234846855473,6135,0.240947221562,1.0259759326,0,6
overlapping,196,196,243,1,0.242051731621,6137,0.242923694491,1.00360238229,0,6
overlapping,197,197,244,1,0.250579640182,6130,0.249334694675,0.995031737191,1,6
overlapping,198,198,245,1,0.250877824543,6134,0.248537925167,0.990673151843,1,6
overlapping,199,199,246,1,0.251319088807,6129,0.249484949368,0.992701949353,1,6
overlapping,200,200,247,1,0.251324227685,6130,0.249570846385,0.993023429074,1,6
overlapping,201,201,248,1,0.244670137675,6125,0.242295665787,0.990295211708,0,6
overlapping,202,202,249,1,0.244091748465,6120,0.242241090701,0.992418187933,0,6
overlapping,203,203,250,1,0.252203676707,6119,0.247211310206,0.980205020933,1,6
overlapping,204,204,251,1,0.258828701696,6125,0.237756946576,0.918588027594,1,6
overlapping,205,205,252,1,0.267334926946,6117,0.227593062752,0.8513405463,1,6
overlapping,206,206,253,1,0.272082358751,6112,0.228735773423,0.840685792614,1,6
overlapping,207,207,254,1,0.26820826887,6124,0.225500459978,0.840766248287,1,6
overlapping,208,208,255,1,0.270923847105,6121,0.233214689159,0.860812703091,1,6
overlapping,209,209,256,1,0.269365572166,6133,0.233656794019,0.867433770916,1,6
overlapping,210,210,257,1,0.264718384151,6154,0.223573384583,0.844570675739,1,6
overlapping,211,211,258,1,0.265618773438,6149,0.219064530453,0.824732859121,1,6
overlapping,212,212,259,1,0.265382858076,6143,0.219298750052,0.826348588005,1,6
overlapping,213,213,260,1,0.267973806164,6140,0.214449738822,0.800263808958,1,6
overlapping,214,214,261,1,0.273494988997,6165,0.212139942185,0.775662994644,1,6
overlapping,215,215,262,1,0.275040872949,6153,0.215181306633,0.782361197178,1,6
overlapping,216,216,263,1,0.277593926967,6164,0.220248902507,0.79342118509,1,6
overlapping,217,217,264,1,0.275553817251,6167,0.212745742053,0.77206603115,1,6
overlapping,218,218,265,1,0.273541277264,6169,0.2049772,0.749346504666,1,6
overlapping,219,219,266,1,0.272411891244,6172,0.209692325484,0.769762011954,1,6
overlapping,220,220,267,1,0.269250804656,6167,0.21210538046,0.7877613615,1,6
overlapping,221,221,268,1,0.261116818157,6173,0.208336646364,0.797867589819,1,6
overlapping,222,222,269,1,0.258997120238,6179,0.209013593849,0.80701126583,1,6
overlapping,223,223,270,1,0.274377157492,6184,0.212396546379,0.774104332591,1,6
overlapping,224,224,271,1,0.266548978949,6174,0.215862669672,0.809842418167,1,6
overlapping,225,225,272,1,0.267225437669,6177,0.2176537793,0.814494986699,1,6
overlapping,226,226,273,1,0.27182371548,6175,0.220697309924,0.811913373833,1,6
overlapping,227,227,274,1,0.265443391515,6177,0.227592937868,0.857406683094,1,6
overlapping,228,228,275,1,0.269556480774,6171,0.226953362929,0.841951053367,1,6
overlapping,229,229,276,1,0.272034688937,6188,0.235964352294,0.867405378398,1,6
overlapping,230,230,277,1,0.281751723597,6195,0.241162957286,0.855941373516,1,6
overlapping,231,231,278,1,0.274021678565,6196,0.238284042751,0.869580990815,1,6
overlapping,232,232,279,1,0.281149714963,6206,0.240109112551,0.854025808217,1,6
overlapping,233,233,280,1,0.281636755248,6187,0.245049635314,0.870091104046,1,6
overlapping,234,234,281,1,0.277716532555,6182,0.248642910795,0.895311879733,1,6
overlapping,235,235,282,1,0.287843791631,6173,0.249094328136,0.865380235317,1,6
overlapping,236,236,283,1,0.289552042225,6189,0.249791239483,0.862681670499,1,6
overlapping,237,237,284,1,0.29518169404,6187,0.250698819789,0.849303411595,1,6
overlapping,238,238,285,1,0.299019109399,6179,0.26039461502,0.870829344462,1,6
overlapping,239,239,286,1,0.296353566425,6182,0.257072428629,0.867451779744,1,6
overlapping,240,240,287,1,0.291928362991,6177,0.249356734576,0.854170975445,1,6
overlapping,241,241,288,1,0.292161231339,6164,0.246743760105,0.84454655046,1,6
overlapping,242,242,289,1,0.283850059768,6174,0.243909761278,0.859290857564,1,6
overlapping,243,243,290,1,0.284778260188,6173,0.233889905669,0.821305339511,1,6
overlapping,244,244,291,1,0.287011793581,6163,0.230721034743,0.803873011153,1,6
overlapping,245,245,292,1,0.278393485992,6169,0.237609635643,0.853502856923,1,6
overlapping,246,246,293,1,0.284961182404,6166,0.241879754445,0.84881650337,1,6
overlapping,247,247,294,1,0.27491381042,6178,0.235779673399,0.857649432159,1,6
overlapping,248,248,295,1,0.27134021649,6179,0.234648476141,0.864775886066,1,6
overlapping,249,249,296,1,0.274733956999,6190,0.248883775386,0.905908312552,1,6
overlapping,250,250,297,1,0.273402812059,6186,0.251543878999,0.920048616561,1,6
overlapping,251,251,298,1,0.274082622774,6194,0.253470701777,0.924796687992,1,6
overlapping,252,252,299,1,0.271129467106,6183,0.256813972885,0.947200522414,1,6
overlapping,253,253,300,1,0.266702667929,6175,0.261515739616,0.980551644445,1,6
overlapping,254,254,301,1,0.26503026632,6193,0.260271449178,0.982044250234,1,6
overlapping,255,255,302,1,0.270534056948,6200,0.262683643169,0.970981791098,1,6
overlapping,256,256,303,1,0.27413033969,6216,0.266286549388,0.97138663925,1,6
overlapping,257,257,304,1,0.278723779793,6199,0.267637552007,0.960225037867,1,6
overlapping,258,258,305,1,0.275219634541,6178,0.27125592486,0.985598012703,1,6
overlapping,259,259,306,1,0.273406907912,6174,0.279468563732,1.02217082175,1,6
overlapping,260,260,307,1,0.279262041094,6166,0.268602526779,0.961829705627,1,6
overlapping,261,261,308,1,0.280995568742,6171,0.275726992984,0.981250324405,1,6
overlapping,262,262,309,1,0.284124256691,6173,0.2850937128,1.00341208498,1,6
overlapping,263,263,310,1,0.286752169994,6165,0.294390126726,1.02663609043,1,6
overlapping,264,264,311,1,0.282974470653,6160,0.293373547887,1.03674917108,1,6
overlapping,265,265,312,1,0.291064050617,6170,0.293916869331,1.00980134341,1,6
overlapping,266,266,313,1,0.298377423878,6186,0.295345482137,0.989838568544,1,6
overlapping,267,267,314,1,0.292735929196,6180,0.286727759067,0.979475802147,1,6
overlapping,268,268,315,1,0.285638560023,6189,0.280218191057,0.981023679136,1,6
overlapping,269,269,316,1,0.283173076838,6185,0.287767708784,1.01622552538,1,6
overlapping,270,270,317,1,0.287085121108,6182,0.295862232814,1.03057320307,1,6
overlapping,271,271,318,1,0.274115652388,6181,0.29656057109,1.08188120053,1,6
overlapping,272,272,319,1,0.284628328067,6179,0.295872159678,1.03950355781,1,6
overlapping,273,273,320,1,0.284198132801,6161,0.296274818615,1.0424938957,1,6
overlapping,274,274,321,1,0.280017001056,6166,0.294506764457,1.05174601309,1,6
overlapping,275,275,322,1,0.282446551733,6163,0.286942110646,1.01591649424,1,6
overlapping,276,276,323,1,0.278480921117,6165,0.291731133683,1.0475803244,1,6
overlapping,277,277,324,1,0.277692633149,6151,0.291044549848,1.04808163813,1,6
overlapping,278,278,325,1,0.273813108283,6143,0.288154640223,1.05237708315,1,6
