row_index,seed_id,metric,value
0,S000,n,50
0,S000,mean,0.008660172352
0,S000,sample_std,1.088807651139
1,S001,n,50
1,S001,mean,0.009623304002
1,S001,sample_std,1.002538141359
2,S002,n,50
2,S002,mean,0.209282685728
2,S002,sample_std,0.882646016815
3,S003,n,50
3,S003,mean,0.513813839233
3,S003,sample_std,1.134580344272
4,S004,n,50
4,S004,mean,0.205730212106
4,S004,sample_std,1.101636016664
5,S005,n,50
5,S005,mean,0.695515169413
5,S005,sample_std,1.160405102354
6,S006,n,50
6,S006,mean,0.804000728463
6,S006,sample_std,1.099923800371
7,S007,n,50
7,S007,mean,0.746224816643
7,S007,sample_std,1.229609316478
8,S008,n,50
8,S008,mean,0.677527918204
8,S008,sample_std,1.145635603982
9,S009,n,50
9,S009,mean,0.897635096630
9,S009,sample_std,1.082790988480
10,S010,n,50
10,S010,mean,1.347459160024
10,S010,sample_std,1.022240476799
11,S011,n,50
11,S011,mean,1.051040630658
11,S011,sample_std,1.227296585913
12,S012,n,50
12,S012,mean,1.286957408300
12,S012,sample_std,1.220282189073
13,S013,n,50
13,S013,mean,1.371236404368
13,S013,sample_std,1.332878753303
14,S014,n,50
14,S014,mean,1.581199417084
14,S014,sample_std,1.313334877247
15,S015,n,50
15,S015,mean,1.431203472219
15,S015,sample_std,1.223537951291
16,S016,n,50
16,S016,mean,1.539510475182
16,S016,sample_std,1.253877480441
17,S017,n,50
17,S017,mean,1.420929412156
17,S017,sample_std,1.192468217806
18,S018,n,50
18,S018,mean,1.934757309657
18,S018,sample_std,1.172592886504
19,S019,n,50
19,S019,mean,1.871357899097
19,S019,sample_std,1.376033010632
