row_index,seed_id,metric,value
0,S000,n,50
0,S000,mean,0.772600211938
0,S000,sample_std,1.034050843068
1,S001,n,50
1,S001,mean,0.156197029964
1,S001,sample_std,0.992514125340
2,S002,n,50
2,S002,mean,0.123413754563
2,S002,sample_std,0.978750814760
3,S003,n,50
3,S003,mean,0.019861454090
3,S003,sample_std,1.108039111103
4,S004,n,50
4,S004,mean,0.139099078072
4,S004,sample_std,1.038378106720
5,S005,n,50
5,S005,mean,0.668668934469
5,S005,sample_std,1.193780414393
6,S006,n,50
6,S006,mean,0.731810708082
6,S006,sample_std,1.311253753668
7,S007,n,50
7,S007,mean,1.057346945055
7,S007,sample_std,1.204709494192
8,S008,n,50
8,S008,mean,0.871795984000
8,S008,sample_std,1.119551070040
9,S009,n,50
9,S009,mean,1.250277757396
9,S009,sample_std,1.182010279837
10,S010,n,50
10,S010,mean,1.172528198103
10,S010,sample_std,1.183401757428
11,S011,n,50
11,S011,mean,1.259498975886
11,S011,sample_std,1.228966724338
12,S012,n,50
12,S012,mean,1.276398546052
12,S012,sample_std,1.129244756700
13,S013,n,50
13,S013,mean,1.189513545719
13,S013,sample_std,1.382173365763
14,S014,n,50
14,S014,mean,1.255283062543
14,S014,sample_std,1.298804522087
15,S015,n,50
15,S015,mean,1.613239682068
15,S015,sample_std,1.229990548047
16,S016,n,50
16,S016,mean,1.966215502446
16,S016,sample_std,1.222611647908
17,S017,n,50
17,S017,mean,2.008620283016
17,S017,sample_std,1.315171942939
18,S018,n,50
18,S018,mean,1.989147951766
18,S018,sample_std,1.541730061116
19,S019,n,50
19,S019,mean,1.715556932156
19,S019,sample_std,1.268723644379
