rule_id,rule_type,enumeration_order,deadline,train_threshold,validation_ceiling,split,eligible_pair_count,reference_non_grok_count,double_non_grok_count,RMST_reference,RMST_double,relative_intervention_reduction
B,broad,-1,3000,0.8,0.5,selection,24,7,3,3591.6666666666665,2816.6666666666665,0.21577726218097448
B,broad,-1,3000,0.8,0.5,heldout,24,6,3,3429.1666666666665,2783.3333333333335,0.18833535844471438
R01,searchable,0,1200,0.9,0.2,selection,19,3,2,3415.7894736842104,2600.0,0.23882896764252695
R01,searchable,0,1200,0.9,0.2,heldout,20,3,1,3195.0,2475.0,0.22535211267605634
R02,searchable,1,1200,0.9,0.4,selection,20,3,2,3310.0,2520.0,0.23867069486404835
R02,searchable,1,1200,0.9,0.4,heldout,20,3,1,3195.0,2475.0,0.22535211267605634
R03,searchable,2,1200,0.97,0.2,selection,11,0,0,3009.090909090909,2145.4545454545455,0.2870090634441087
R03,searchable,2,1200,0.97,0.2,heldout,11,1,0,2718.181818181818,2200.0,0.19063545150501668
R04,searchable,3,1200,0.97,0.4,selection,11,0,0,3009.090909090909,2145.4545454545455,0.2870090634441087
R04,searchable,3,1200,0.97,0.4,heldout,12,1,0,2633.3333333333335,2158.3333333333335,0.18037974683544303
R05,searchable,4,1800,0.9,0.2,selection,23,7,3,3691.304347826087,2895.6521739130435,0.21554770318021202
R05,searchable,4,1800,0.9,0.2,heldout,24,6,3,3429.1666666666665,2783.3333333333335,0.18833535844471438
R06,searchable,5,1800,0.9,0.4,selection,24,7,3,3591.6666666666665,2816.6666666666665,0.21577726218097448
R06,searchable,5,1800,0.9,0.4,heldout,24,6,3,3429.1666666666665,2783.3333333333335,0.18833535844471438
R07,searchable,6,1800,0.97,0.2,selection,21,7,3,3890.4761904761904,3047.6190476190477,0.21664626682986532
R07,searchable,6,1800,0.97,0.2,heldout,22,5,2,3436.3636363636365,2731.818181818182,0.205026455026455
R08,searchable,7,1800,0.97,0.4,selection,21,7,3,3890.4761904761904,3047.6190476190477,0.21664626682986532
R08,searchable,7,1800,0.97,0.4,heldout,23,5,2,3360.8695652173915,2686.9565217391305,0.20051746442432086
R09,searchable,8,2400,0.9,0.2,selection,23,7,3,3691.304347826087,2895.6521739130435,0.21554770318021202
R09,searchable,8,2400,0.9,0.2,heldout,24,6,3,3429.1666666666665,2783.3333333333335,0.18833535844471438
R10,searchable,9,2400,0.9,0.4,selection,24,7,3,3591.6666666666665,2816.6666666666665,0.21577726218097448
R10,searchable,9,2400,0.9,0.4,heldout,24,6,3,3429.1666666666665,2783.3333333333335,0.18833535844471438
R11,searchable,10,2400,0.97,0.2,selection,21,7,3,3890.4761904761904,3047.6190476190477,0.21664626682986532
R11,searchable,10,2400,0.97,0.2,heldout,23,6,3,3504.3478260869565,2830.4347826086955,0.19230769230769235
R12,searchable,11,2400,0.97,0.4,selection,21,7,3,3890.4761904761904,3047.6190476190477,0.21664626682986532
R12,searchable,11,2400,0.97,0.4,heldout,24,6,3,3429.1666666666665,2783.3333333333335,0.18833535844471438
