seed,generational_initialization_target,generational_initialization_accepted,generational_initialization_attempts,generational_initialization_misses,generational_initialization_failed,generational_offspring_target,generational_offspring_accepted,generational_offspring_attempts,generational_offspring_misses,generational_offspring_failed,generational_best_score,generational_duplicate_ratio,steady_state_initialization_target,steady_state_initialization_accepted,steady_state_initialization_attempts,steady_state_initialization_misses,steady_state_initialization_failed,steady_state_offspring_target,steady_state_offspring_accepted,steady_state_offspring_attempts,steady_state_offspring_misses,steady_state_offspring_failed,steady_state_best_score,steady_state_duplicate_ratio
0,64,64,64,0,0,2048,2048,2070,22,0,63,0.010309278351,64,64,64,0,0,2048,2048,2718,670,0,64,0.240833932423
1,64,64,64,0,0,2048,2048,2080,32,0,64,0.014925373134,64,64,64,0,0,2048,2048,2649,601,0,64,0.221525985993
2,64,64,64,0,0,2048,2048,2062,14,0,64,0.006585136406,64,64,64,0,0,2048,2048,2737,689,0,64,0.245983577294
3,64,64,64,0,0,2048,2048,2061,13,0,63,0.006117647059,64,64,64,0,0,2048,2048,2644,596,0,64,0.220088626292
4,64,64,64,0,0,2048,2048,2069,21,0,63,0.009845288326,64,64,64,0,0,2048,2048,2697,649,0,64,0.235059760956
5,64,64,64,0,0,2048,2048,2071,23,0,64,0.010772833724,64,64,64,0,0,2048,2048,2817,769,0,64,0.266921207914
6,64,64,64,0,0,2048,2048,2071,23,0,63,0.010772833724,64,64,64,0,0,2048,2048,2743,695,0,64,0.247595297471
7,64,64,64,0,0,2048,2048,2069,21,0,64,0.009845288326,64,64,64,0,0,2048,2048,2758,710,0,64,0.251594613749
8,64,64,64,0,0,2048,2048,2069,21,0,64,0.009845288326,64,64,64,0,0,2048,2048,2749,701,0,64,0.249200142197
9,64,64,64,0,0,2048,2048,2063,15,0,64,0.007052186178,64,64,64,0,0,2048,2048,2708,660,0,64,0.238095238095
10,64,64,64,0,0,2048,2048,2070,22,0,64,0.010309278351,64,64,64,0,0,2048,2048,2721,673,0,64,0.241651705566
11,64,64,64,0,0,2048,2048,2070,22,0,63,0.010309278351,64,64,64,0,0,2048,2048,2711,663,0,64,0.238918918919
12,64,64,64,0,0,2048,2048,2070,22,0,64,0.010309278351,64,64,64,0,0,2048,2048,2816,768,0,64,0.266666666667
13,64,64,64,0,0,2048,2048,2071,23,0,63,0.010772833724,64,64,64,0,0,2048,2048,2773,725,0,64,0.255551639055
14,64,64,64,0,0,2048,2048,2064,16,0,63,0.007518796992,64,64,64,0,0,2048,2048,2826,778,0,64,0.269204152249
15,64,64,64,0,0,2048,2048,2076,28,0,64,0.013084112150,64,64,64,0,0,2048,2048,2703,655,0,64,0.236718467654
16,64,64,64,0,0,2048,2048,2069,21,0,63,0.009845288326,64,64,64,0,0,2048,2048,2829,781,0,64,0.269961977186
17,64,64,64,0,0,2048,2048,2070,22,0,63,0.010309278351,64,64,64,0,0,2048,2048,2699,651,0,64,0.235613463626
18,64,64,64,0,0,2048,2048,2085,37,0,64,0.017217310377,64,64,64,0,0,2048,2048,2660,612,0,64,0.224669603524
19,64,64,64,0,0,2048,2048,2071,23,0,64,0.010772833724,64,64,64,0,0,2048,2048,2738,690,0,64,0.246252676660
20,64,64,64,0,0,2048,2048,2059,11,0,63,0.005181347150,64,64,64,0,0,2048,2048,2810,762,0,64,0.265135699374
21,64,64,64,0,0,2048,2048,2070,22,0,63,0.010309278351,64,64,64,0,0,2048,2048,2733,685,0,64,0.244905255631
22,64,64,64,0,0,2048,2048,2080,32,0,64,0.014925373134,64,64,64,0,0,2048,2048,2824,776,0,64,0.268698060942
23,64,64,64,0,0,2048,2048,2069,21,0,63,0.009845288326,64,64,64,0,0,2048,2048,2732,684,0,64,0.244635193133
24,64,64,64,0,0,2048,2048,2073,25,0,64,0.011698642957,64,64,64,0,0,2048,2048,2788,740,0,64,0.259467040673
25,64,64,64,0,0,2048,2048,2068,20,0,64,0.009380863039,64,64,64,0,0,2048,2048,2760,712,0,64,0.252124645892
26,64,64,64,0,0,2048,2048,2083,35,0,64,0.016301816488,64,64,64,0,0,2048,2048,2789,741,0,64,0.259726603575
27,64,64,64,0,0,2048,2048,2075,27,0,63,0.012622720898,64,64,64,0,0,2048,2048,2829,781,0,64,0.269961977186
28,64,64,64,0,0,2048,2048,2069,21,0,63,0.009845288326,64,64,64,0,0,2048,2048,2661,613,0,64,0.224954128440
29,64,64,64,0,0,2048,2048,2069,21,0,64,0.009845288326,64,64,64,0,0,2048,2048,2606,558,0,64,0.208988764045
