seed,generational_initialization_target,generational_initialization_accepted,generational_initialization_attempts,generational_initialization_misses,generational_initialization_failed,generational_offspring_target,generational_offspring_accepted,generational_offspring_attempts,generational_offspring_misses,generational_offspring_failed,generational_best_score,generational_duplicate_ratio,steady_state_initialization_target,steady_state_initialization_accepted,steady_state_initialization_attempts,steady_state_initialization_misses,steady_state_initialization_failed,steady_state_offspring_target,steady_state_offspring_accepted,steady_state_offspring_attempts,steady_state_offspring_misses,steady_state_offspring_failed,steady_state_best_score,steady_state_duplicate_ratio
0,64,64,64,0,0,2048,2048,2070,22,0,63,0.010309278351,64,64,64,0,0,2048,2048,2664,616,0,64,0.225806451613
1,64,64,64,0,0,2048,2048,2080,32,0,64,0.014925373134,64,64,64,0,0,2048,2048,2716,668,0,64,0.240287769784
2,64,64,64,0,0,2048,2048,2062,14,0,64,0.006585136406,64,64,64,0,0,2048,2048,2736,688,0,64,0.245714285714
3,64,64,64,0,0,2048,2048,2061,13,0,63,0.006117647059,64,64,64,0,0,2048,2048,2710,662,0,64,0.238644556597
4,64,64,64,0,0,2048,2048,2069,21,0,63,0.009845288326,64,64,64,0,0,2048,2048,2818,770,0,64,0.267175572519
5,64,64,64,0,0,2048,2048,2071,23,0,64,0.010772833724,64,64,64,0,0,2048,2048,2705,657,0,64,0.237269772481
6,64,64,64,0,0,2048,2048,2071,23,0,63,0.010772833724,64,64,64,0,0,2048,2048,2777,729,0,64,0.256599788807
7,64,64,64,0,0,2048,2048,2069,21,0,64,0.009845288326,64,64,64,0,0,2048,2048,2678,630,0,64,0.229759299781
8,64,64,64,0,0,2048,2048,2069,21,0,64,0.009845288326,64,64,64,0,0,2048,2048,2711,663,0,64,0.238918918919
9,64,64,64,0,0,2048,2048,2063,15,0,64,0.007052186178,64,64,64,0,0,2048,2048,2803,755,0,64,0.263341471922
10,64,64,64,0,0,2048,2048,2070,22,0,64,0.010309278351,64,64,64,0,0,2048,2048,2703,655,0,64,0.236718467654
11,64,64,64,0,0,2048,2048,2070,22,0,63,0.010309278351,64,64,64,0,0,2048,2048,2787,739,0,64,0.259207295686
12,64,64,64,0,0,2048,2048,2070,22,0,64,0.010309278351,64,64,64,0,0,2048,2048,2797,749,0,64,0.261796574624
13,64,64,64,0,0,2048,2048,2071,23,0,63,0.010772833724,64,64,64,0,0,2048,2048,2713,665,0,64,0.239467050774
14,64,64,64,0,0,2048,2048,2064,16,0,63,0.007518796992,64,64,64,0,0,2048,2048,2761,713,0,64,0.252389380531
15,64,64,64,0,0,2048,2048,2076,28,0,64,0.013084112150,64,64,64,0,0,2048,2048,2693,645,0,64,0.233949945593
16,64,64,64,0,0,2048,2048,2069,21,0,63,0.009845288326,64,64,64,0,0,2048,2048,2736,688,0,64,0.245714285714
17,64,64,64,0,0,2048,2048,2070,22,0,63,0.010309278351,64,64,64,0,0,2048,2048,2663,615,0,64,0.225522552255
18,64,64,64,0,0,2048,2048,2085,37,0,64,0.017217310377,64,64,64,0,0,2048,2048,2646,598,0,64,0.220664206642
19,64,64,64,0,0,2048,2048,2071,23,0,64,0.010772833724,64,64,64,0,0,2048,2048,2747,699,0,64,0.248665955176
20,64,64,64,0,0,2048,2048,2059,11,0,63,0.005181347150,64,64,64,0,0,2048,2048,2687,639,0,64,0.232279171210
21,64,64,64,0,0,2048,2048,2070,22,0,63,0.010309278351,64,64,64,0,0,2048,2048,2718,670,0,64,0.240833932423
22,64,64,64,0,0,2048,2048,2080,32,0,64,0.014925373134,64,64,64,0,0,2048,2048,2671,623,0,64,0.227787934186
23,64,64,64,0,0,2048,2048,2069,21,0,63,0.009845288326,64,64,64,0,0,2048,2048,2704,656,0,64,0.236994219653
24,64,64,64,0,0,2048,2048,2073,25,0,64,0.011698642957,64,64,64,0,0,2048,2048,2710,662,0,64,0.238644556597
25,64,64,64,0,0,2048,2048,2068,20,0,64,0.009380863039,64,64,64,0,0,2048,2048,2724,676,0,64,0.242467718795
26,64,64,64,0,0,2048,2048,2083,35,0,64,0.016301816488,64,64,64,0,0,2048,2048,2734,686,0,64,0.245175125089
27,64,64,64,0,0,2048,2048,2075,27,0,63,0.012622720898,64,64,64,0,0,2048,2048,2701,653,0,64,0.236166365280
28,64,64,64,0,0,2048,2048,2069,21,0,63,0.009845288326,64,64,64,0,0,2048,2048,2629,581,0,64,0.215744522837
29,64,64,64,0,0,2048,2048,2069,21,0,64,0.009845288326,64,64,64,0,0,2048,2048,2639,591,0,64,0.218645948946
