seed,generational_initialization_target,generational_initialization_accepted,generational_initialization_attempts,generational_initialization_misses,generational_initialization_failed,generational_offspring_target,generational_offspring_accepted,generational_offspring_attempts,generational_offspring_misses,generational_offspring_failed,generational_best_score,generational_duplicate_ratio,steady_state_initialization_target,steady_state_initialization_accepted,steady_state_initialization_attempts,steady_state_initialization_misses,steady_state_initialization_failed,steady_state_offspring_target,steady_state_offspring_accepted,steady_state_offspring_attempts,steady_state_offspring_misses,steady_state_offspring_failed,steady_state_best_score,steady_state_duplicate_ratio
0,64,64,64,0,0,2048,2048,2073,25,0,63,0.011698642957,64,64,64,0,0,2048,2048,2768,720,0,64,0.254237288136
1,64,64,64,0,0,2048,2048,2079,31,0,64,0.014465702287,64,64,64,0,0,2048,2048,2755,707,0,64,0.250798155374
2,64,64,64,0,0,2048,2048,2070,22,0,64,0.010309278351,64,64,64,0,0,2048,2048,2753,705,0,64,0.250266240682
3,64,64,64,0,0,2048,2048,2069,21,0,63,0.009845288326,64,64,64,0,0,2048,2048,2777,729,0,64,0.256599788807
4,64,64,64,0,0,2048,2048,2082,34,0,64,0.015843429637,64,64,64,0,0,2048,2048,2637,589,0,64,0.218067382451
5,64,64,64,0,0,2048,2048,2072,24,0,64,0.011235955056,64,64,64,0,0,2048,2048,2775,727,0,64,0.256076083128
6,64,64,64,0,0,2048,2048,2073,25,0,64,0.011698642957,64,64,64,0,0,2048,2048,2728,680,0,64,0.243553008596
7,64,64,64,0,0,2048,2048,2078,30,0,64,0.014005602241,64,64,64,0,0,2048,2048,2861,813,0,64,0.277948717949
8,64,64,64,0,0,2048,2048,2066,18,0,63,0.008450704225,64,64,64,0,0,2048,2048,2712,664,0,64,0.239193083573
9,64,64,64,0,0,2048,2048,2068,20,0,64,0.009380863039,64,64,64,0,0,2048,2048,2800,752,0,64,0.262569832402
10,64,64,64,0,0,2048,2048,2065,17,0,64,0.007984969469,64,64,64,0,0,2048,2048,2749,701,0,64,0.249200142197
11,64,64,64,0,0,2048,2048,2068,20,0,63,0.009380863039,64,64,64,0,0,2048,2048,2645,597,0,64,0.220376522702
12,64,64,64,0,0,2048,2048,2067,19,0,64,0.008916001877,64,64,64,0,0,2048,2048,2826,778,0,64,0.269204152249
13,64,64,64,0,0,2048,2048,2069,21,0,63,0.009845288326,64,64,64,0,0,2048,2048,2745,697,0,64,0.248131007476
14,64,64,64,0,0,2048,2048,2070,22,0,63,0.010309278351,64,64,64,0,0,2048,2048,2631,583,0,64,0.216326530612
15,64,64,64,0,0,2048,2048,2074,26,0,63,0.012160898036,64,64,64,0,0,2048,2048,2706,658,0,64,0.237545126354
16,64,64,64,0,0,2048,2048,2061,13,0,63,0.006117647059,64,64,64,0,0,2048,2048,2699,651,0,64,0.235613463626
17,64,64,64,0,0,2048,2048,2065,17,0,63,0.007984969469,64,64,64,0,0,2048,2048,2760,712,0,64,0.252124645892
18,64,64,64,0,0,2048,2048,2062,14,0,63,0.006585136406,64,64,64,0,0,2048,2048,2755,707,0,64,0.250798155374
19,64,64,64,0,0,2048,2048,2077,29,0,64,0.013545072396,64,64,64,0,0,2048,2048,2592,544,0,64,0.204819277108
20,64,64,64,0,0,2048,2048,2065,17,0,63,0.007984969469,64,64,64,0,0,2048,2048,2672,624,0,64,0.228070175439
21,64,64,64,0,0,2048,2048,2068,20,0,64,0.009380863039,64,64,64,0,0,2048,2048,2789,741,0,64,0.259726603575
22,64,64,64,0,0,2048,2048,2070,22,0,63,0.010309278351,64,64,64,0,0,2048,2048,2820,772,0,64,0.267683772538
23,64,64,64,0,0,2048,2048,2072,24,0,63,0.011235955056,64,64,64,0,0,2048,2048,2778,730,0,64,0.256861365236
24,64,64,64,0,0,2048,2048,2076,28,0,64,0.013084112150,64,64,64,0,0,2048,2048,2810,762,0,64,0.265135699374
25,64,64,64,0,0,2048,2048,2069,21,0,63,0.009845288326,64,64,64,0,0,2048,2048,2642,594,0,64,0.219512195122
26,64,64,64,0,0,2048,2048,2066,18,0,64,0.008450704225,64,64,64,0,0,2048,2048,2739,691,0,64,0.246521584017
27,64,64,64,0,0,2048,2048,2075,27,0,64,0.012622720898,64,64,64,0,0,2048,2048,2804,756,0,64,0.263598326360
28,64,64,64,0,0,2048,2048,2068,20,0,63,0.009380863039,64,64,64,0,0,2048,2048,2707,659,0,64,0.237820281487
29,64,64,64,0,0,2048,2048,2067,19,0,64,0.008916001877,64,64,64,0,0,2048,2048,2828,780,0,64,0.269709543568
