dataset_id,total_order_selected_id,total_order_selected_config,total_order_optimizer_label,total_order_final_estimate,total_order_unique_selected_ids,total_order_estimate_range,total_order_invariant,first_rule_distinct_selected_ids,first_rule_unique_selected_id_count,first_rule_configuration_variation,first_rule_estimate_min,first_rule_estimate_max,first_rule_estimate_range,reported_winner_change,material_estimate_change,different_id_case_count,different_optimizer_case_count,material_estimate_case_count,any_absolute_estimate_change_gt_0,case_count_absolute_estimate_change_gt_0,any_absolute_estimate_change_gt_0_0025,case_count_absolute_estimate_change_gt_0_0025,any_absolute_estimate_change_gt_0_005,case_count_absolute_estimate_change_gt_0_005,any_absolute_estimate_change_gt_0_01,case_count_absolute_estimate_change_gt_0_01
0,0,C00,optimizer-A,0.547472222222222,1,0.0,True,0|1|6|7,4,True,0.547472222222222,0.621222222222222,0.07374999999999998,True,True,18,10,18,True,18,True,18,True,18,True,18
1,1,C01,optimizer-A,0.6069722222222221,1,0.0,True,1|2|7|8,4,True,0.5556666666666668,0.6186388888888886,0.06297222222222187,True,True,20,15,20,True,20,True,20,True,20,True,20
2,2,C02,optimizer-A,0.5489444444444445,1,0.0,True,2|3|8|9,4,True,0.5489444444444445,0.6198333333333335,0.070888888888889,True,True,21,15,21,True,21,True,21,True,21,True,21
3,3,C03,optimizer-A,0.6101666666666665,1,0.0,True,3|4|9|10,4,True,0.5555277777777777,0.6202777777777776,0.06474999999999986,True,True,19,13,19,True,19,True,19,True,19,True,19
4,4,C04,optimizer-A,0.5519166666666669,1,0.0,True,4|5|10|11,4,True,0.5519166666666669,0.6200277777777775,0.06811111111111057,True,True,20,14,20,True,20,True,20,True,20,True,14
5,0,C00,optimizer-A,0.5611944444444447,1,0.0,True,0|5|6|11,4,True,0.5529722222222222,0.6192777777777778,0.06630555555555562,True,True,19,12,19,True,19,True,19,True,19,True,17
6,0,C00,optimizer-A,0.6101388888888891,1,0.0,True,0|1|6|7,4,True,0.5456666666666667,0.6173888888888889,0.07172222222222213,True,True,18,10,18,True,18,True,18,True,18,True,10
7,1,C01,optimizer-A,0.5515833333333333,1,0.0,True,1|2|7|8,4,True,0.5515833333333333,0.6188611111111114,0.0672777777777781,True,True,20,15,20,True,20,True,20,True,20,True,15
8,2,C02,optimizer-A,0.6055555555555557,1,0.0,True,2|3|8|9,4,True,0.5487500000000003,0.620611111111111,0.07186111111111071,True,True,21,15,21,True,21,True,21,True,21,True,21
9,3,C03,optimizer-A,0.5506666666666667,1,0.0,True,3|4|9|10,4,True,0.5506666666666667,0.620416666666667,0.0697500000000002,True,True,19,13,19,True,19,True,19,True,19,True,19
10,4,C04,optimizer-A,0.6108611111111115,1,0.0,True,4|5|10|11,4,True,0.5515833333333336,0.6246111111111115,0.0730277777777778,True,True,20,14,20,True,20,True,20,True,20,True,20
11,0,C00,optimizer-A,0.62025,1,0.0,True,0|5|6|11,4,True,0.5479444444444445,0.62025,0.07230555555555551,True,True,19,12,19,True,19,True,19,True,19,True,17
12,0,C00,optimizer-A,0.5500555555555556,1,0.0,True,0|1|6|7,4,True,0.5500555555555556,0.6184999999999994,0.06844444444444375,True,True,18,10,18,True,18,True,18,True,18,True,10
13,1,C01,optimizer-A,0.6116111111111109,1,0.0,True,1|2|7|8,4,True,0.5507777777777779,0.6202500000000001,0.06947222222222216,True,True,20,15,20,True,20,True,20,True,20,True,15
14,2,C02,optimizer-A,0.5486111111111112,1,0.0,True,2|3|8|9,4,True,0.5486111111111112,0.6197499999999998,0.07113888888888864,True,True,21,15,21,True,21,True,21,True,21,True,21
15,3,C03,optimizer-A,0.609638888888889,1,0.0,True,3|4|9|10,4,True,0.5501944444444447,0.6196666666666665,0.06947222222222182,True,True,19,13,19,True,19,True,19,True,19,True,19
16,4,C04,optimizer-A,0.5511944444444445,1,0.0,True,4|5|10|11,4,True,0.5511944444444445,0.6186666666666667,0.06747222222222216,True,True,20,14,20,True,20,True,20,True,20,True,14
17,0,C00,optimizer-A,0.5538055555555553,1,0.0,True,0|5|6|11,4,True,0.5536388888888888,0.6201111111111114,0.0664722222222226,True,True,19,12,17,True,19,True,17,True,17,True,17
18,0,C00,optimizer-A,0.6119999999999998,1,0.0,True,0|1|6|7,4,True,0.5493888888888889,0.6181666666666668,0.06877777777777783,True,True,18,10,18,True,18,True,18,True,18,True,10
19,1,C01,optimizer-A,0.5498055555555555,1,0.0,True,1|2|7|8,4,True,0.5498055555555555,0.6176111111111113,0.06780555555555579,True,True,20,15,20,True,20,True,20,True,20,True,20
20,2,C02,optimizer-A,0.60875,1,0.0,True,2|3|8|9,4,True,0.554638888888889,0.6225277777777776,0.06788888888888855,True,True,21,15,21,True,21,True,21,True,21,True,21
21,3,C03,optimizer-A,0.5516944444444444,1,0.0,True,3|4|9|10,4,True,0.5516944444444444,0.6183333333333333,0.06663888888888891,True,True,19,13,19,True,19,True,19,True,19,True,13
22,4,C04,optimizer-A,0.6063611111111117,1,0.0,True,4|5|10|11,4,True,0.5508055555555557,0.6210277777777777,0.07022222222222207,True,True,20,14,20,True,20,True,20,True,20,True,20
23,0,C00,optimizer-A,0.6192777777777777,1,0.0,True,0|5|6|11,4,True,0.5511388888888891,0.6192777777777777,0.06813888888888864,True,True,19,12,19,True,19,True,19,True,19,True,17
24,0,C00,optimizer-A,0.5473333333333333,1,0.0,True,0|1|6|7,4,True,0.5473333333333333,0.6205833333333335,0.07325000000000015,True,True,18,10,18,True,18,True,18,True,18,True,18
25,1,C01,optimizer-A,0.6097777777777774,1,0.0,True,1|2|7|8,4,True,0.5497777777777778,0.6147777777777779,0.06500000000000006,True,True,20,15,20,True,20,True,20,True,20,True,15
26,2,C02,optimizer-A,0.5493888888888888,1,0.0,True,2|3|8|9,4,True,0.5493888888888888,0.6169444444444443,0.06755555555555548,True,True,21,15,21,True,21,True,21,True,21,True,15
27,3,C03,optimizer-A,0.6122222222222222,1,0.0,True,3|4|9|10,4,True,0.5507222222222222,0.6235833333333335,0.07286111111111127,True,True,19,13,19,True,19,True,19,True,19,True,19
28,4,C04,optimizer-A,0.552138888888889,1,0.0,True,4|5|10|11,4,True,0.552138888888889,0.621361111111111,0.06922222222222207,True,True,20,14,20,True,20,True,20,True,20,True,14
29,0,C00,optimizer-A,0.5619722222222221,1,0.0,True,0|5|6|11,4,True,0.5488333333333333,0.6215277777777781,0.07269444444444484,True,True,19,12,19,True,19,True,19,True,19,True,19
30,0,C00,optimizer-A,0.6095833333333335,1,0.0,True,0|1|6|7,4,True,0.5492500000000002,0.6187499999999998,0.06949999999999956,True,True,18,10,18,True,18,True,18,True,18,True,10
31,1,C01,optimizer-A,0.5495555555555556,1,0.0,True,1|2|7|8,4,True,0.5495555555555556,0.6214999999999996,0.07194444444444403,True,True,20,15,20,True,20,True,20,True,20,True,15
32,2,C02,optimizer-A,0.6079166666666663,1,0.0,True,2|3|8|9,4,True,0.5495555555555557,0.6214166666666667,0.07186111111111104,True,True,21,15,21,True,21,True,21,True,21,True,21
