dataset_id,permutation_id,permutation_order,exact_tuning_maximum,total_order_selected_id,total_order_selected_config,total_order_optimizer_label,first_rule_selected_id,first_rule_selected_config,first_rule_optimizer_label
0,0,2|3|1|10|6|7|0|8|4|5|9|11,0.75,0,C00,optimizer-A,1,C01,optimizer-A
0,1,0|5|11|3|2|8|10|7|6|9|1|4,0.75,0,C00,optimizer-A,0,C00,optimizer-A
0,2,11|5|2|4|0|7|6|10|1|9|3|8,0.75,0,C00,optimizer-A,0,C00,optimizer-A
0,3,4|8|0|3|5|1|10|7|2|11|6|9,0.75,0,C00,optimizer-A,0,C00,optimizer-A
0,4,7|6|0|4|9|10|1|11|2|3|8|5,0.75,0,C00,optimizer-A,7,C07,optimizer-B
0,5,0|1|8|10|5|4|7|3|2|11|9|6,0.75,0,C00,optimizer-A,0,C00,optimizer-A
0,6,6|9|7|10|5|2|3|8|11|1|4|0,0.75,0,C00,optimizer-A,6,C06,optimizer-B
0,7,1|6|3|9|10|11|5|8|2|4|0|7,0.75,0,C00,optimizer-A,1,C01,optimizer-A
0,8,5|2|1|8|6|9|0|10|7|11|3|4,0.75,0,C00,optimizer-A,1,C01,optimizer-A
0,9,0|10|5|2|3|11|4|9|1|8|7|6,0.75,0,C00,optimizer-A,0,C00,optimizer-A
0,10,7|3|9|11|6|2|10|1|5|4|8|0,0.75,0,C00,optimizer-A,7,C07,optimizer-B
0,11,3|5|8|1|0|11|10|9|4|6|2|7,0.75,0,C00,optimizer-A,1,C01,optimizer-A
0,12,6|4|8|7|5|11|3|2|9|0|1|10,0.75,0,C00,optimizer-A,6,C06,optimizer-B
0,13,5|1|0|8|10|3|2|6|11|9|7|4,0.75,0,C00,optimizer-A,1,C01,optimizer-A
0,14,8|10|3|5|1|9|4|0|11|7|6|2,0.75,0,C00,optimizer-A,1,C01,optimizer-A
0,15,0|8|6|7|11|2|9|3|1|10|5|4,0.75,0,C00,optimizer-A,0,C00,optimizer-A
0,16,8|9|2|10|4|7|6|11|1|0|5|3,0.75,0,C00,optimizer-A,7,C07,optimizer-B
0,17,7|1|6|4|0|10|11|9|5|8|3|2,0.75,0,C00,optimizer-A,7,C07,optimizer-B
0,18,10|3|5|8|4|9|2|1|6|0|11|7,0.75,0,C00,optimizer-A,1,C01,optimizer-A
0,19,9|5|3|8|11|7|0|10|1|2|4|6,0.75,0,C00,optimizer-A,7,C07,optimizer-B
0,20,10|6|5|1|3|9|4|0|2|8|11|7,0.75,0,C00,optimizer-A,6,C06,optimizer-B
0,21,0|8|3|5|9|7|11|6|1|2|10|4,0.75,0,C00,optimizer-A,0,C00,optimizer-A
0,22,10|5|11|1|4|9|6|7|8|0|2|3,0.75,0,C00,optimizer-A,1,C01,optimizer-A
0,23,4|8|10|7|6|1|5|2|11|3|0|9,0.75,0,C00,optimizer-A,7,C07,optimizer-B
0,24,7|8|6|0|1|9|2|3|11|10|4|5,0.75,0,C00,optimizer-A,7,C07,optimizer-B
1,0,2|3|1|10|6|7|0|8|4|5|9|11,0.75,1,C01,optimizer-A,2,C02,optimizer-A
1,1,0|5|11|3|2|8|10|7|6|9|1|4,0.75,1,C01,optimizer-A,2,C02,optimizer-A
1,2,11|5|2|4|0|7|6|10|1|9|3|8,0.75,1,C01,optimizer-A,2,C02,optimizer-A
1,3,4|8|0|3|5|1|10|7|2|11|6|9,0.75,1,C01,optimizer-A,8,C08,optimizer-B
1,4,7|6|0|4|9|10|1|11|2|3|8|5,0.75,1,C01,optimizer-A,7,C07,optimizer-B
1,5,0|1|8|10|5|4|7|3|2|11|9|6,0.75,1,C01,optimizer-A,1,C01,optimizer-A
1,6,6|9|7|10|5|2|3|8|11|1|4|0,0.75,1,C01,optimizer-A,7,C07,optimizer-B
1,7,1|6|3|9|10|11|5|8|2|4|0|7,0.75,1,C01,optimizer-A,1,C01,optimizer-A
1,8,5|2|1|8|6|9|0|10|7|11|3|4,0.75,1,C01,optimizer-A,2,C02,optimizer-A
1,9,0|10|5|2|3|11|4|9|1|8|7|6,0.75,1,C01,optimizer-A,2,C02,optimizer-A
1,10,7|3|9|11|6|2|10|1|5|4|8|0,0.75,1,C01,optimizer-A,7,C07,optimizer-B
1,11,3|5|8|1|0|11|10|9|4|6|2|7,0.75,1,C01,optimizer-A,8,C08,optimizer-B
1,12,6|4|8|7|5|11|3|2|9|0|1|10,0.75,1,C01,optimizer-A,8,C08,optimizer-B
1,13,5|1|0|8|10|3|2|6|11|9|7|4,0.75,1,C01,optimizer-A,1,C01,optimizer-A
1,14,8|10|3|5|1|9|4|0|11|7|6|2,0.75,1,C01,optimizer-A,8,C08,optimizer-B
1,15,0|8|6|7|11|2|9|3|1|10|5|4,0.75,1,C01,optimizer-A,8,C08,optimizer-B
1,16,8|9|2|10|4|7|6|11|1|0|5|3,0.75,1,C01,optimizer-A,8,C08,optimizer-B
1,17,7|1|6|4|0|10|11|9|5|8|3|2,0.75,1,C01,optimizer-A,7,C07,optimizer-B
