split,P,mutation_multiplier,p,B,calibration_successes,calibration_success_rate,target_deviation
0,4,0.5,0.025,80,0,0.0,0.5
0,4,0.5,0.025,160,8,0.5,0.0
0,4,0.5,0.025,320,14,0.875,0.375
0,4,1.0,0.05,80,1,0.0625,0.4375
0,4,1.0,0.05,160,14,0.875,0.375
0,4,1.0,0.05,320,16,1.0,0.5
0,4,2.0,0.1,80,0,0.0,0.5
0,4,2.0,0.1,160,9,0.5625,0.0625
0,4,2.0,0.1,320,15,0.9375,0.4375
0,12,0.5,0.025,80,1,0.0625,0.4375
0,12,0.5,0.025,160,1,0.0625,0.4375
0,12,0.5,0.025,320,15,0.9375,0.4375
0,12,1.0,0.05,80,1,0.0625,0.4375
0,12,1.0,0.05,160,6,0.375,0.125
0,12,1.0,0.05,320,16,1.0,0.5
0,12,2.0,0.1,80,0,0.0,0.5
0,12,2.0,0.1,160,1,0.0625,0.4375
0,12,2.0,0.1,320,12,0.75,0.25
1,4,0.5,0.025,80,1,0.0625,0.4375
1,4,0.5,0.025,160,10,0.625,0.125
1,4,0.5,0.025,320,16,1.0,0.5
1,4,1.0,0.05,80,1,0.0625,0.4375
1,4,1.0,0.05,160,12,0.75,0.25
1,4,1.0,0.05,320,16,1.0,0.5
1,4,2.0,0.1,80,0,0.0,0.5
1,4,2.0,0.1,160,7,0.4375,0.0625
1,4,2.0,0.1,320,14,0.875,0.375
1,12,0.5,0.025,80,0,0.0,0.5
1,12,0.5,0.025,160,2,0.125,0.375
1,12,0.5,0.025,320,13,0.8125,0.3125
1,12,1.0,0.05,80,1,0.0625,0.4375
1,12,1.0,0.05,160,8,0.5,0.0
1,12,1.0,0.05,320,15,0.9375,0.4375
1,12,2.0,0.1,80,1,0.0625,0.4375
1,12,2.0,0.1,160,5,0.3125,0.1875
1,12,2.0,0.1,320,14,0.875,0.375
2,4,0.5,0.025,80,3,0.1875,0.3125
2,4,0.5,0.025,160,10,0.625,0.125
2,4,0.5,0.025,320,16,1.0,0.5
2,4,1.0,0.05,80,2,0.125,0.375
2,4,1.0,0.05,160,12,0.75,0.25
2,4,1.0,0.05,320,16,1.0,0.5
2,4,2.0,0.1,80,2,0.125,0.375
2,4,2.0,0.1,160,9,0.5625,0.0625
2,4,2.0,0.1,320,16,1.0,0.5
2,12,0.5,0.025,80,0,0.0,0.5
2,12,0.5,0.025,160,4,0.25,0.25
2,12,0.5,0.025,320,14,0.875,0.375
2,12,1.0,0.05,80,0,0.0,0.5
2,12,1.0,0.05,160,5,0.3125,0.1875
2,12,1.0,0.05,320,16,1.0,0.5
2,12,2.0,0.1,80,1,0.0625,0.4375
2,12,2.0,0.1,160,3,0.1875,0.3125
2,12,2.0,0.1,320,11,0.6875,0.1875
3,4,0.5,0.025,80,0,0.0,0.5
3,4,0.5,0.025,160,6,0.375,0.125
3,4,0.5,0.025,320,14,0.875,0.375
3,4,1.0,0.05,80,1,0.0625,0.4375
3,4,1.0,0.05,160,10,0.625,0.125
3,4,1.0,0.05,320,15,0.9375,0.4375
3,4,2.0,0.1,80,0,0.0,0.5
3,4,2.0,0.1,160,11,0.6875,0.1875
3,4,2.0,0.1,320,16,1.0,0.5
3,12,0.5,0.025,80,0,0.0,0.5
3,12,0.5,0.025,160,3,0.1875,0.3125
3,12,0.5,0.025,320,15,0.9375,0.4375
3,12,1.0,0.05,80,0,0.0,0.5
3,12,1.0,0.05,160,4,0.25,0.25
3,12,1.0,0.05,320,15,0.9375,0.4375
3,12,2.0,0.1,80,0,0.0,0.5
3,12,2.0,0.1,160,4,0.25,0.25
3,12,2.0,0.1,320,13,0.8125,0.3125
4,4,0.5,0.025,80,0,0.0,0.5
4,4,0.5,0.025,160,7,0.4375,0.0625
4,4,0.5,0.025,320,14,0.875,0.375
4,4,1.0,0.05,80,3,0.1875,0.3125
4,4,1.0,0.05,160,12,0.75,0.25
4,4,1.0,0.05,320,15,0.9375,0.4375
4,4,2.0,0.1,80,1,0.0625,0.4375
4,4,2.0,0.1,160,10,0.625,0.125
4,4,2.0,0.1,320,15,0.9375,0.4375
4,12,0.5,0.025,80,1,0.0625,0.4375
4,12,0.5,0.025,160,2,0.125,0.375
4,12,0.5,0.025,320,13,0.8125,0.3125
4,12,1.0,0.05,80,0,0.0,0.5
4,12,1.0,0.05,160,3,0.1875,0.3125
4,12,1.0,0.05,320,16,1.0,0.5
4,12,2.0,0.1,80,0,0.0,0.5
4,12,2.0,0.1,160,3,0.1875,0.3125
4,12,2.0,0.1,320,13,0.8125,0.3125
5,4,0.5,0.025,80,3,0.1875,0.3125
5,4,0.5,0.025,160,11,0.6875,0.1875
5,4,0.5,0.025,320,13,0.8125,0.3125
5,4,1.0,0.05,80,1,0.0625,0.4375
5,4,1.0,0.05,160,9,0.5625,0.0625
5,4,1.0,0.05,320,15,0.9375,0.4375
5,4,2.0,0.1,80,1,0.0625,0.4375
5,4,2.0,0.1,160,8,0.5,0.0
5,4,2.0,0.1,320,16,1.0,0.5
5,12,0.5,0.025,80,0,0.0,0.5
5,12,0.5,0.025,160,4,0.25,0.25
5,12,0.5,0.025,320,14,0.875,0.375
5,12,1.0,0.05,80,0,0.0,0.5
5,12,1.0,0.05,160,3,0.1875,0.3125
5,12,1.0,0.05,320,16,1.0,0.5
5,12,2.0,0.1,80,0,0.0,0.5
5,12,2.0,0.1,160,4,0.25,0.25
5,12,2.0,0.1,320,15,0.9375,0.4375
6,4,0.5,0.025,80,0,0.0,0.5
6,4,0.5,0.025,160,6,0.375,0.125
6,4,0.5,0.025,320,16,1.0,0.5
6,4,1.0,0.05,80,2,0.125,0.375
6,4,1.0,0.05,160,11,0.6875,0.1875
6,4,1.0,0.05,320,16,1.0,0.5
6,4,2.0,0.1,80,1,0.0625,0.4375
6,4,2.0,0.1,160,8,0.5,0.0
6,4,2.0,0.1,320,15,0.9375,0.4375
6,12,0.5,0.025,80,0,0.0,0.5
6,12,0.5,0.025,160,1,0.0625,0.4375
6,12,0.5,0.025,320,16,1.0,0.5
6,12,1.0,0.05,80,1,0.0625,0.4375
6,12,1.0,0.05,160,5,0.3125,0.1875
6,12,1.0,0.05,320,16,1.0,0.5
6,12,2.0,0.1,80,0,0.0,0.5
6,12,2.0,0.1,160,2,0.125,0.375
6,12,2.0,0.1,320,12,0.75,0.25
7,4,0.5,0.025,80,1,0.0625,0.4375
7,4,0.5,0.025,160,7,0.4375,0.0625
7,4,0.5,0.025,320,16,1.0,0.5
7,4,1.0,0.05,80,5,0.3125,0.1875
7,4,1.0,0.05,160,10,0.625,0.125
7,4,1.0,0.05,320,16,1.0,0.5
7,4,2.0,0.1,80,2,0.125,0.375
7,4,2.0,0.1,160,9,0.5625,0.0625
7,4,2.0,0.1,320,15,0.9375,0.4375
7,12,0.5,0.025,80,0,0.0,0.5
7,12,0.5,0.025,160,5,0.3125,0.1875
7,12,0.5,0.025,320,14,0.875,0.375
7,12,1.0,0.05,80,0,0.0,0.5
7,12,1.0,0.05,160,7,0.4375,0.0625
7,12,1.0,0.05,320,15,0.9375,0.4375
7,12,2.0,0.1,80,0,0.0,0.5
7,12,2.0,0.1,160,1,0.0625,0.4375
7,12,2.0,0.1,320,13,0.8125,0.3125
8,4,0.5,0.025,80,0,0.0,0.5
8,4,0.5,0.025,160,6,0.375,0.125
8,4,0.5,0.025,320,16,1.0,0.5
8,4,1.0,0.05,80,2,0.125,0.375
8,4,1.0,0.05,160,12,0.75,0.25
8,4,1.0,0.05,320,16,1.0,0.5
8,4,2.0,0.1,80,2,0.125,0.375
8,4,2.0,0.1,160,7,0.4375,0.0625
8,4,2.0,0.1,320,15,0.9375,0.4375
8,12,0.5,0.025,80,0,0.0,0.5
8,12,0.5,0.025,160,4,0.25,0.25
8,12,0.5,0.025,320,16,1.0,0.5
8,12,1.0,0.05,80,1,0.0625,0.4375
8,12,1.0,0.05,160,5,0.3125,0.1875
8,12,1.0,0.05,320,16,1.0,0.5
8,12,2.0,0.1,80,0,0.0,0.5
8,12,2.0,0.1,160,4,0.25,0.25
8,12,2.0,0.1,320,14,0.875,0.375
9,4,0.5,0.025,80,1,0.0625,0.4375
9,4,0.5,0.025,160,8,0.5,0.0
9,4,0.5,0.025,320,13,0.8125,0.3125
9,4,1.0,0.05,80,2,0.125,0.375
9,4,1.0,0.05,160,10,0.625,0.125
9,4,1.0,0.05,320,15,0.9375,0.4375
9,4,2.0,0.1,80,1,0.0625,0.4375
9,4,2.0,0.1,160,8,0.5,0.0
9,4,2.0,0.1,320,14,0.875,0.375
9,12,0.5,0.025,80,0,0.0,0.5
9,12,0.5,0.025,160,2,0.125,0.375
9,12,0.5,0.025,320,15,0.9375,0.4375
9,12,1.0,0.05,80,1,0.0625,0.4375
9,12,1.0,0.05,160,5,0.3125,0.1875
9,12,1.0,0.05,320,15,0.9375,0.4375
9,12,2.0,0.1,80,0,0.0,0.5
9,12,2.0,0.1,160,5,0.3125,0.1875
9,12,2.0,0.1,320,14,0.875,0.375
10,4,0.5,0.025,80,2,0.125,0.375
10,4,0.5,0.025,160,9,0.5625,0.0625
10,4,0.5,0.025,320,13,0.8125,0.3125
10,4,1.0,0.05,80,1,0.0625,0.4375
10,4,1.0,0.05,160,11,0.6875,0.1875
10,4,1.0,0.05,320,16,1.0,0.5
10,4,2.0,0.1,80,2,0.125,0.375
10,4,2.0,0.1,160,8,0.5,0.0
10,4,2.0,0.1,320,15,0.9375,0.4375
10,12,0.5,0.025,80,0,0.0,0.5
10,12,0.5,0.025,160,3,0.1875,0.3125
10,12,0.5,0.025,320,15,0.9375,0.4375
10,12,1.0,0.05,80,0,0.0,0.5
10,12,1.0,0.05,160,4,0.25,0.25
10,12,1.0,0.05,320,15,0.9375,0.4375
10,12,2.0,0.1,80,0,0.0,0.5
10,12,2.0,0.1,160,5,0.3125,0.1875
10,12,2.0,0.1,320,16,1.0,0.5
11,4,0.5,0.025,80,0,0.0,0.5
11,4,0.5,0.025,160,7,0.4375,0.0625
11,4,0.5,0.025,320,16,1.0,0.5
11,4,1.0,0.05,80,5,0.3125,0.1875
11,4,1.0,0.05,160,14,0.875,0.375
11,4,1.0,0.05,320,16,1.0,0.5
11,4,2.0,0.1,80,2,0.125,0.375
11,4,2.0,0.1,160,10,0.625,0.125
11,4,2.0,0.1,320,16,1.0,0.5
11,12,0.5,0.025,80,0,0.0,0.5
11,12,0.5,0.025,160,1,0.0625,0.4375
11,12,0.5,0.025,320,11,0.6875,0.1875
11,12,1.0,0.05,80,0,0.0,0.5
11,12,1.0,0.05,160,4,0.25,0.25
11,12,1.0,0.05,320,15,0.9375,0.4375
11,12,2.0,0.1,80,0,0.0,0.5
