split,selected_P,selected_mutation_multiplier,selected_p,selected_B,calibration_success_rate,validation_serial_success_rate,validation_batch_success_rate,calibration_target_deviation,validation_target_deviation,delta,batch_minus_serial
0,4,0.5,0.025,160,0.5,0.484375,0.0859375,0.0,0.015625,0.015625,-0.3984375
1,12,1.0,0.05,160,0.5,0.2578125,0.078125,0.0,0.2421875,0.2421875,-0.1796875
2,4,2.0,0.1,160,0.5625,0.5078125,0.2421875,0.0625,0.0078125,-0.0546875,-0.265625
3,4,1.0,0.05,160,0.625,0.7109375,0.2109375,0.125,0.2109375,0.0859375,-0.5
4,4,0.5,0.025,160,0.4375,0.453125,0.0625,0.0625,0.046875,-0.015625,-0.390625
5,4,2.0,0.1,160,0.5,0.609375,0.2265625,0.0,0.109375,0.109375,-0.3828125
6,4,2.0,0.1,160,0.5,0.4375,0.2578125,0.0,0.0625,0.0625,-0.1796875
7,4,0.5,0.025,160,0.4375,0.4765625,0.0859375,0.0625,0.0234375,-0.0390625,-0.390625
8,4,2.0,0.1,160,0.4375,0.4921875,0.28125,0.0625,0.0078125,-0.0546875,-0.2109375
9,4,0.5,0.025,160,0.5,0.4765625,0.078125,0.0,0.0234375,0.0234375,-0.3984375
10,4,2.0,0.1,160,0.5,0.515625,0.21875,0.0,0.015625,0.015625,-0.296875
11,4,0.5,0.025,160,0.4375,0.5234375,0.09375,0.0625,0.0234375,-0.0390625,-0.4296875
12,4,2.0,0.1,160,0.5625,0.5546875,0.2890625,0.0625,0.0546875,-0.0078125,-0.265625
13,4,0.5,0.025,160,0.5625,0.3984375,0.09375,0.0625,0.1015625,0.0390625,-0.3046875
14,4,0.5,0.025,160,0.5,0.3671875,0.0625,0.0,0.1328125,0.1328125,-0.3046875
15,4,0.5,0.025,160,0.5,0.4765625,0.0859375,0.0,0.0234375,0.0234375,-0.390625
16,4,0.5,0.025,160,0.5,0.4921875,0.140625,0.0,0.0078125,0.0078125,-0.3515625
17,4,2.0,0.1,160,0.375,0.4453125,0.265625,0.125,0.0546875,-0.0703125,-0.1796875
18,4,0.5,0.025,160,0.5,0.484375,0.078125,0.0,0.015625,0.015625,-0.40625
19,4,2.0,0.1,160,0.375,0.5,0.296875,0.125,0.0,-0.125,-0.203125
20,4,0.5,0.025,160,0.4375,0.5,0.109375,0.0625,0.0,-0.0625,-0.390625
21,4,0.5,0.025,160,0.5,0.390625,0.125,0.0,0.109375,0.109375,-0.265625
22,4,0.5,0.025,160,0.5,0.4375,0.109375,0.0,0.0625,0.0625,-0.328125
23,4,0.5,0.025,160,0.5,0.484375,0.1015625,0.0,0.015625,0.015625,-0.3828125
24,4,0.5,0.025,160,0.5625,0.484375,0.109375,0.0625,0.015625,-0.046875,-0.375
25,4,2.0,0.1,160,0.625,0.5,0.203125,0.125,0.0,-0.125,-0.296875
26,4,2.0,0.1,160,0.5,0.5546875,0.2109375,0.0,0.0546875,0.0546875,-0.34375
27,4,2.0,0.1,160,0.4375,0.53125,0.1953125,0.0625,0.03125,-0.03125,-0.3359375
28,4,1.0,0.05,160,0.5625,0.6015625,0.265625,0.0625,0.1015625,0.0390625,-0.3359375
29,4,2.0,0.1,160,0.5625,0.5546875,0.296875,0.0625,0.0546875,-0.0078125,-0.2578125
30,4,0.5,0.025,160,0.5,0.484375,0.1171875,0.0,0.015625,0.015625,-0.3671875
31,4,0.5,0.025,160,0.4375,0.46875,0.109375,0.0625,0.03125,-0.03125,-0.359375
32,4,0.5,0.025,160,0.5,0.4375,0.0859375,0.0,0.0625,0.0625,-0.3515625
33,4,2.0,0.1,160,0.5625,0.5,0.25,0.0625,0.0,-0.0625,-0.25
34,4,2.0,0.1,160,0.5,0.5546875,0.2734375,0.0,0.0546875,0.0546875,-0.28125
35,4,0.5,0.025,160,0.4375,0.390625,0.1171875,0.0625,0.109375,0.046875,-0.2734375
36,4,0.5,0.025,160,0.375,0.46875,0.1015625,0.125,0.03125,-0.09375,-0.3671875
37,4,2.0,0.1,160,0.5,0.546875,0.2578125,0.0,0.046875,0.046875,-0.2890625
38,4,0.5,0.025,160,0.5,0.5078125,0.09375,0.0,0.0078125,0.0078125,-0.4140625
39,4,1.0,0.05,160,0.5,0.625,0.25,0.0,0.125,0.125,-0.375
40,4,1.0,0.05,160,0.6875,0.6875,0.2109375,0.1875,0.1875,0.0,-0.4765625
41,4,1.0,0.05,160,0.5,0.7578125,0.2734375,0.0,0.2578125,0.2578125,-0.484375
42,4,2.0,0.1,160,0.625,0.53125,0.28125,0.125,0.03125,-0.09375,-0.25
43,4,2.0,0.1,160,0.5,0.5546875,0.25,0.0,0.0546875,0.0546875,-0.3046875
44,4,0.5,0.025,160,0.5,0.4921875,0.109375,0.0,0.0078125,0.0078125,-0.3828125
45,4,0.5,0.025,160,0.5625,0.4140625,0.0859375,0.0625,0.0859375,0.0234375,-0.328125
46,4,2.0,0.1,160,0.5,0.515625,0.1875,0.0,0.015625,0.015625,-0.328125
