split,population_size,mutation_rate,evaluation_budget,calibration_observations,calibration_successes,calibration_success_rate,target_deviation
0,8,0.025,64,16,1,0.0625,0.4375
0,8,0.025,128,16,10,0.625,0.125
0,8,0.025,256,16,15,0.9375,0.4375
0,8,0.025,512,16,16,1,0.5
0,8,0.05,64,16,3,0.1875,0.3125
0,8,0.05,128,16,12,0.75,0.25
0,8,0.05,256,16,16,1,0.5
0,8,0.05,512,16,16,1,0.5
0,8,0.1,64,16,0,0,0.5
0,8,0.1,128,16,5,0.3125,0.1875
0,8,0.1,256,16,16,1,0.5
0,8,0.1,512,16,16,1,0.5
0,8,0.2,64,16,0,0,0.5
0,8,0.2,128,16,1,0.0625,0.4375
0,8,0.2,256,16,3,0.1875,0.3125
0,8,0.2,512,16,9,0.5625,0.0625
0,16,0.025,64,16,0,0,0.5
0,16,0.025,128,16,8,0.5,0
0,16,0.025,256,16,15,0.9375,0.4375
0,16,0.025,512,16,16,1,0.5
0,16,0.05,64,16,0,0,0.5
0,16,0.05,128,16,8,0.5,0
0,16,0.05,256,16,16,1,0.5
0,16,0.05,512,16,16,1,0.5
0,16,0.1,64,16,0,0,0.5
0,16,0.1,128,16,5,0.3125,0.1875
0,16,0.1,256,16,16,1,0.5
0,16,0.1,512,16,16,1,0.5
0,16,0.2,64,16,0,0,0.5
0,16,0.2,128,16,0,0,0.5
0,16,0.2,256,16,5,0.3125,0.1875
0,16,0.2,512,16,9,0.5625,0.0625
0,32,0.025,64,16,0,0,0.5
0,32,0.025,128,16,3,0.1875,0.3125
0,32,0.025,256,16,16,1,0.5
0,32,0.025,512,16,16,1,0.5
0,32,0.05,64,16,0,0,0.5
0,32,0.05,128,16,1,0.0625,0.4375
0,32,0.05,256,16,15,0.9375,0.4375
0,32,0.05,512,16,16,1,0.5
0,32,0.1,64,16,0,0,0.5
0,32,0.1,128,16,1,0.0625,0.4375
0,32,0.1,256,16,6,0.375,0.125
0,32,0.1,512,16,16,1,0.5
0,32,0.2,64,16,0,0,0.5
0,32,0.2,128,16,0,0,0.5
0,32,0.2,256,16,0,0,0.5
0,32,0.2,512,16,5,0.3125,0.1875
1,8,0.025,64,16,0,0,0.5
1,8,0.025,128,16,5,0.3125,0.1875
1,8,0.025,256,16,16,1,0.5
1,8,0.025,512,16,16,1,0.5
1,8,0.05,64,16,3,0.1875,0.3125
1,8,0.05,128,16,9,0.5625,0.0625
1,8,0.05,256,16,16,1,0.5
1,8,0.05,512,16,16,1,0.5
1,8,0.1,64,16,0,0,0.5
1,8,0.1,128,16,7,0.4375,0.0625
1,8,0.1,256,16,16,1,0.5
1,8,0.1,512,16,16,1,0.5
1,8,0.2,64,16,0,0,0.5
1,8,0.2,128,16,2,0.125,0.375
1,8,0.2,256,16,6,0.375,0.125
1,8,0.2,512,16,10,0.625,0.125
1,16,0.025,64,16,1,0.0625,0.4375
1,16,0.025,128,16,8,0.5,0
1,16,0.025,256,16,14,0.875,0.375
1,16,0.025,512,16,16,1,0.5
1,16,0.05,64,16,0,0,0.5
1,16,0.05,128,16,7,0.4375,0.0625
1,16,0.05,256,16,16,1,0.5
1,16,0.05,512,16,16,1,0.5
1,16,0.1,64,16,0,0,0.5
1,16,0.1,128,16,2,0.125,0.375
1,16,0.1,256,16,15,0.9375,0.4375
1,16,0.1,512,16,16,1,0.5
1,16,0.2,64,16,0,0,0.5
1,16,0.2,128,16,1,0.0625,0.4375
1,16,0.2,256,16,3,0.1875,0.3125
1,16,0.2,512,16,10,0.625,0.125
1,32,0.025,64,16,0,0,0.5
1,32,0.025,128,16,3,0.1875,0.3125
1,32,0.025,256,16,16,1,0.5
1,32,0.025,512,16,16,1,0.5
1,32,0.05,64,16,0,0,0.5
1,32,0.05,128,16,3,0.1875,0.3125
1,32,0.05,256,16,16,1,0.5
1,32,0.05,512,16,16,1,0.5
1,32,0.1,64,16,0,0,0.5
1,32,0.1,128,16,0,0,0.5
1,32,0.1,256,16,6,0.375,0.125
1,32,0.1,512,16,16,1,0.5
1,32,0.2,64,16,0,0,0.5
1,32,0.2,128,16,0,0,0.5
1,32,0.2,256,16,1,0.0625,0.4375
1,32,0.2,512,16,3,0.1875,0.3125
2,8,0.025,64,16,0,0,0.5
2,8,0.025,128,16,7,0.4375,0.0625
2,8,0.025,256,16,16,1,0.5
2,8,0.025,512,16,16,1,0.5
2,8,0.05,64,16,1,0.0625,0.4375
2,8,0.05,128,16,14,0.875,0.375
2,8,0.05,256,16,16,1,0.5
2,8,0.05,512,16,16,1,0.5
2,8,0.1,64,16,0,0,0.5
2,8,0.1,128,16,8,0.5,0
2,8,0.1,256,16,16,1,0.5
2,8,0.1,512,16,16,1,0.5
2,8,0.2,64,16,0,0,0.5
2,8,0.2,128,16,1,0.0625,0.4375
2,8,0.2,256,16,5,0.3125,0.1875
2,8,0.2,512,16,13,0.8125,0.3125
2,16,0.025,64,16,1,0.0625,0.4375
2,16,0.025,128,16,10,0.625,0.125
2,16,0.025,256,16,16,1,0.5
2,16,0.025,512,16,16,1,0.5
2,16,0.05,64,16,0,0,0.5
2,16,0.05,128,16,6,0.375,0.125
2,16,0.05,256,16,16,1,0.5
2,16,0.05,512,16,16,1,0.5
2,16,0.1,64,16,0,0,0.5
2,16,0.1,128,16,4,0.25,0.25
2,16,0.1,256,16,16,1,0.5
2,16,0.1,512,16,16,1,0.5
2,16,0.2,64,16,0,0,0.5
2,16,0.2,128,16,0,0,0.5
2,16,0.2,256,16,2,0.125,0.375
2,16,0.2,512,16,5,0.3125,0.1875
2,32,0.025,64,16,0,0,0.5
2,32,0.025,128,16,2,0.125,0.375
2,32,0.025,256,16,16,1,0.5
2,32,0.025,512,16,16,1,0.5
2,32,0.05,64,16,0,0,0.5
2,32,0.05,128,16,0,0,0.5
2,32,0.05,256,16,15,0.9375,0.4375
2,32,0.05,512,16,16,1,0.5
2,32,0.1,64,16,0,0,0.5
2,32,0.1,128,16,0,0,0.5
2,32,0.1,256,16,8,0.5,0
2,32,0.1,512,16,16,1,0.5
2,32,0.2,64,16,0,0,0.5
2,32,0.2,128,16,0,0,0.5
2,32,0.2,256,16,0,0,0.5
2,32,0.2,512,16,2,0.125,0.375
3,8,0.025,64,16,4,0.25,0.25
3,8,0.025,128,16,6,0.375,0.125
3,8,0.025,256,16,16,1,0.5
3,8,0.025,512,16,16,1,0.5
3,8,0.05,64,16,1,0.0625,0.4375
3,8,0.05,128,16,10,0.625,0.125
3,8,0.05,256,16,16,1,0.5
3,8,0.05,512,16,16,1,0.5
3,8,0.1,64,16,1,0.0625,0.4375
3,8,0.1,128,16,8,0.5,0
3,8,0.1,256,16,15,0.9375,0.4375
3,8,0.1,512,16,16,1,0.5
3,8,0.2,64,16,0,0,0.5
3,8,0.2,128,16,0,0,0.5
3,8,0.2,256,16,2,0.125,0.375
3,8,0.2,512,16,11,0.6875,0.1875
3,16,0.025,64,16,0,0,0.5
3,16,0.025,128,16,5,0.3125,0.1875
3,16,0.025,256,16,14,0.875,0.375
3,16,0.025,512,16,16,1,0.5
3,16,0.05,64,16,2,0.125,0.375
3,16,0.05,128,16,5,0.3125,0.1875
3,16,0.05,256,16,16,1,0.5
3,16,0.05,512,16,16,1,0.5
3,16,0.1,64,16,0,0,0.5
3,16,0.1,128,16,4,0.25,0.25
3,16,0.1,256,16,14,0.875,0.375
3,16,0.1,512,16,16,1,0.5
3,16,0.2,64,16,0,0,0.5
3,16,0.2,128,16,0,0,0.5
3,16,0.2,256,16,1,0.0625,0.4375
3,16,0.2,512,16,8,0.5,0
3,32,0.025,64,16,0,0,0.5
3,32,0.025,128,16,0,0,0.5
3,32,0.025,256,16,15,0.9375,0.4375
3,32,0.025,512,16,16,1,0.5
3,32,0.05,64,16,0,0,0.5
3,32,0.05,128,16,1,0.0625,0.4375
3,32,0.05,256,16,15,0.9375,0.4375
3,32,0.05,512,16,16,1,0.5
3,32,0.1,64,16,0,0,0.5
3,32,0.1,128,16,2,0.125,0.375
3,32,0.1,256,16,9,0.5625,0.0625
3,32,0.1,512,16,16,1,0.5
