split,population_size,mutation_rate,evaluation_budget,calibration_successes,c_s,a_s
0,16,0.025,128,8,0.5,0
1,16,0.025,128,8,0.5,0
2,8,0.1,128,8,0.5,0
3,8,0.1,128,8,0.5,0
4,8,0.025,128,6,0.375,0.125
5,8,0.1,128,9,0.5625,0.0625
6,8,0.1,128,9,0.5625,0.0625
7,8,0.05,128,9,0.5625,0.0625
8,16,0.05,128,8,0.5,0
9,8,0.05,128,8,0.5,0
10,16,0.05,128,8,0.5,0
11,8,0.025,128,8,0.5,0
12,8,0.1,128,8,0.5,0
13,8,0.025,128,8,0.5,0
14,8,0.05,128,8,0.5,0
15,8,0.05,128,8,0.5,0
16,32,0.1,256,7,0.4375,0.0625
17,16,0.05,128,8,0.5,0
18,32,0.2,512,8,0.5,0
19,16,0.025,128,7,0.4375,0.0625
20,8,0.025,128,9,0.5625,0.0625
21,8,0.025,128,8,0.5,0
22,8,0.025,128,6,0.375,0.125
23,16,0.05,128,8,0.5,0
24,16,0.025,128,7,0.4375,0.0625
25,8,0.1,128,9,0.5625,0.0625
26,16,0.025,128,8,0.5,0
27,8,0.025,128,8,0.5,0
28,8,0.025,128,8,0.5,0
29,8,0.1,128,8,0.5,0
30,8,0.025,128,8,0.5,0
31,8,0.1,128,8,0.5,0
32,8,0.05,128,9,0.5625,0.0625
33,16,0.2,512,8,0.5,0
34,8,0.1,128,8,0.5,0
35,16,0.05,128,8,0.5,0
36,16,0.025,128,8,0.5,0
37,8,0.1,128,8,0.5,0
38,32,0.1,256,8,0.5,0
39,16,0.025,128,8,0.5,0
