split,population_size,mutation_rate,evaluation_budget,calibration_successes,validation_serial_successes,validation_batch16_successes,c_s,v_s,batch16_rate,a_s,h_s,h_minus_a
0,16,0.025,128,8,10,3,0.5,0.625,0.1875,0,0.125,0.125
1,16,0.025,128,8,5,3,0.5,0.3125,0.1875,0,0.1875,0.1875
2,8,0.1,128,8,7,4,0.5,0.4375,0.25,0,0.0625,0.0625
3,8,0.1,128,8,3,5,0.5,0.1875,0.3125,0,0.3125,0.3125
4,8,0.025,128,6,6,2,0.375,0.375,0.125,0.125,0.125,0
5,8,0.1,128,9,9,4,0.5625,0.5625,0.25,0.0625,0.0625,0
6,8,0.1,128,9,7,1,0.5625,0.4375,0.0625,0.0625,0.0625,0
7,8,0.05,128,9,12,7,0.5625,0.75,0.4375,0.0625,0.25,0.1875
8,16,0.05,128,8,8,4,0.5,0.5,0.25,0,0,0
9,8,0.05,128,8,12,7,0.5,0.75,0.4375,0,0.25,0.25
10,16,0.05,128,8,11,2,0.5,0.6875,0.125,0,0.1875,0.1875
11,8,0.025,128,8,10,3,0.5,0.625,0.1875,0,0.125,0.125
12,8,0.1,128,8,8,5,0.5,0.5,0.3125,0,0,0
13,8,0.025,128,8,9,6,0.5,0.5625,0.375,0,0.0625,0.0625
14,8,0.05,128,8,8,7,0.5,0.5,0.4375,0,0,0
15,8,0.05,128,8,12,7,0.5,0.75,0.4375,0,0.25,0.25
16,32,0.1,256,7,7,4,0.4375,0.4375,0.25,0.0625,0.0625,0
17,16,0.05,128,8,10,3,0.5,0.625,0.1875,0,0.125,0.125
18,32,0.2,512,8,3,2,0.5,0.1875,0.125,0,0.3125,0.3125
19,16,0.025,128,7,9,3,0.4375,0.5625,0.1875,0.0625,0.0625,0
20,8,0.025,128,9,4,5,0.5625,0.25,0.3125,0.0625,0.25,0.1875
21,8,0.025,128,8,9,5,0.5,0.5625,0.3125,0,0.0625,0.0625
22,8,0.025,128,6,10,4,0.375,0.625,0.25,0.125,0.125,0
23,16,0.05,128,8,5,4,0.5,0.3125,0.25,0,0.1875,0.1875
24,16,0.025,128,7,10,2,0.4375,0.625,0.125,0.0625,0.125,0.0625
25,8,0.1,128,9,9,4,0.5625,0.5625,0.25,0.0625,0.0625,0
26,16,0.025,128,8,14,5,0.5,0.875,0.3125,0,0.375,0.375
27,8,0.025,128,8,9,6,0.5,0.5625,0.375,0,0.0625,0.0625
28,8,0.025,128,8,9,6,0.5,0.5625,0.375,0,0.0625,0.0625
29,8,0.1,128,8,7,3,0.5,0.4375,0.1875,0,0.0625,0.0625
30,8,0.025,128,8,7,7,0.5,0.4375,0.4375,0,0.0625,0.0625
31,8,0.1,128,8,8,3,0.5,0.5,0.1875,0,0,0
32,8,0.05,128,9,14,7,0.5625,0.875,0.4375,0.0625,0.375,0.3125
33,16,0.2,512,8,8,9,0.5,0.5,0.5625,0,0,0
34,8,0.1,128,8,7,3,0.5,0.4375,0.1875,0,0.0625,0.0625
35,16,0.05,128,8,9,1,0.5,0.5625,0.0625,0,0.0625,0.0625
36,16,0.025,128,8,6,3,0.5,0.375,0.1875,0,0.125,0.125
37,8,0.1,128,8,9,1,0.5,0.5625,0.0625,0,0.0625,0.0625
38,32,0.1,256,8,7,7,0.5,0.4375,0.4375,0,0.0625,0.0625
39,16,0.025,128,8,8,4,0.5,0.5,0.25,0,0,0
