pair_index,semantic_validation_passed,raw_id_A,raw_id_B,raw_ids_different,canonical_id_A,canonical_id_B,canonical_ids_equal,raw_size_A,raw_size_B,canonical_size_A,canonical_size_B
0,True,sha256:2e23082a2b81db26871166e574203480f7faea710f0216fcc29cf8ff11ba53bc,sha256:25b212b23fbd07e471202b102ffefa87360e2c39a7391702d05753df863c758a,True,sha256:a616f4e7b2498d5c94d4662557acdf75381ef572f2444e3614f345a454a152db,sha256:a616f4e7b2498d5c94d4662557acdf75381ef572f2444e3614f345a454a152db,True,2503,2984,2504,2504
1,True,sha256:d4b216ce3a35f6e84ce0c55c06adfb0101dcab39e64438d702fd9423ea183212,sha256:6f29152bd8f55b2887d23dddadb7cac4bc274936404e865cc07832e9c266df22,True,sha256:c467a9f0d6e85012fbeeff624bff013a73e7689de99558e1a0f51d5bbee4b955,sha256:c467a9f0d6e85012fbeeff624bff013a73e7689de99558e1a0f51d5bbee4b955,True,2985,2504,2505,2505
2,True,sha256:61ea621fc69fe01103c613f8951d76f8cdf9ff2c25d65246a53ebc02b36bd86c,sha256:ea91a425c0cb584e1bdebff1887adf8fa6ec8f3464cbf1700692c97a86110c36,True,sha256:5704c432a6cc05740cd3e49ddc87a70def2f57f98ef068440f06f0ed2d735c72,sha256:5704c432a6cc05740cd3e49ddc87a70def2f57f98ef068440f06f0ed2d735c72,True,3365,2504,2505,2505
3,True,sha256:73b5636cea96503ba5d41366930f13cba1966d295c40351967e6de4a6587f069,sha256:31e6c50747163c53e4ed1a35c609318d49352c2120cf8f4bb01dced15d0719bb,True,sha256:fe18a792fd61547ab53a0c3d7c54b31cb58ccc6e0ef971538f3b679e58af35ec,sha256:fe18a792fd61547ab53a0c3d7c54b31cb58ccc6e0ef971538f3b679e58af35ec,True,2504,2985,2505,2505
4,True,sha256:baa1e4c11fe299460448127c724ac0c9732916f183b6b2e8e10b9b7f42fa2f90,sha256:b4bccf526aeeb1a66a572de89dc1b8b3c2d866c1ab89a882df4a3e5c23e8cb54,True,sha256:4b8cc4c47233a635623c2ac5d90e61152d66ca1870d0cbfd1a3b2a4b81751512,sha256:4b8cc4c47233a635623c2ac5d90e61152d66ca1870d0cbfd1a3b2a4b81751512,True,2985,2504,2505,2505
5,True,sha256:58b2b6bfd347ee81024e29ccae486e653b0fe7a22a5b90d48867349d0d28994e,sha256:3c5c0689dfa91781716e95c0fbdc9cf29f4824c7777f74416d1d83b7a0714ee0,True,sha256:6cfc45740a1f0331da705be71e7f9448b1d86f6b76a43dab1bcf551b7b3401bc,sha256:6cfc45740a1f0331da705be71e7f9448b1d86f6b76a43dab1bcf551b7b3401bc,True,2986,2505,2506,2506
6,True,sha256:5231bf0348e1594bc76f6b69d154d9f64fb86e1fbc639ff8dbe670f3402dd017,sha256:33e909b019c39db195fd90135e8e5cb66abc92c7afb6e3241a96498f21427d9f,True,sha256:d6265f04107435cbb494e641c988cd4dc9930a79625b174f811b0d3e2ea8e9e4,sha256:d6265f04107435cbb494e641c988cd4dc9930a79625b174f811b0d3e2ea8e9e4,True,2505,2986,2506,2506
7,True,sha256:5f3f25a8e90872eb38a1089fba181a318f97c4e0547ed62e6312fe8dda6dece4,sha256:995f100d7ab439e9b9059df9c5750e39f8c5491daac4e77d795a029f8486f5e2,True,sha256:a96034225d73f343ad93580c0060503053bcadec970ef7530120dd5f234a5412,sha256:a96034225d73f343ad93580c0060503053bcadec970ef7530120dd5f234a5412,True,2505,2986,2506,2506
8,True,sha256:55ce1fcfdca6fc55804aed94451cf1d3d92f2ee6d57b0cd97e05a577987c9fca,sha256:fc55b7fe69a5159048f9125e87f85c8c07e2252f99c856ce3c87c638353fc36a,True,sha256:a69ff2236b3360fe03af9f9f8b7fdf04045de92ebba783d0c8e60af147044f38,sha256:a69ff2236b3360fe03af9f9f8b7fdf04045de92ebba783d0c8e60af147044f38,True,3367,2506,2507,2507
9,True,sha256:b513887ade1f9401658119664efb1373e180ba70b198ed2d52b6dcbd32b2fa25,sha256:fdffaed3f1994fa80a73165798968a0e49b201cdf49a3ea2e1c477ff6d0d8dfa,True,sha256:cbe1a6ce8979672f4d6918df11cb5f59e3fef0348f0056dbc522dc7e96a86eff,sha256:cbe1a6ce8979672f4d6918df11cb5f59e3fef0348f0056dbc522dc7e96a86eff,True,2507,2988,2508,2508
