class,scenario,root_a,root_b,local_accept_a,local_accept_b,dual_acceptance,gossip_alert
attack,0,4b6cfaeff29b3972f9c0fac76e6b791e86c2264d54c3ed68400ff40c8a136c01,7db4baf84f82eb16eb31b9744847c4f31243660aba2e8dfe14c5b75147cf1833,True,True,True,True
attack,1,ce780e08c8946b297e706c4b95981e1aac235ba0a0c89d53962f6451e90e9395,f4857142ded9e216306b6c626c0e9552230652c4168cff7b90fb2f1b4a2c8130,True,True,True,True
attack,2,5dca04871fac7eab2582ea76a7ba1df8a0fde252d891042bd61aa6eb624eba6c,0df6bf3ee1a79d62f037d66e99d157e007ad9aaee713b042dc21df83b8c4fa3f,True,True,True,True
attack,3,0160229593d604544dbaea37cd9961842c0cc334e6e6aafab717156f79df2ca3,f7ca73b62a9c1f7cf8d05e5f7fb777f81b6e421f0af156b596978bfa9692979f,True,True,True,True
attack,4,180efe2e0e3401f58a570a3ed7717e94595b1e113452f0f8dbdd21f75dd8378c,2c45ca6e1d4ddc3b92b8fd2a66277ad17f148b865b580aaf7ded73437145af13,True,True,True,True
attack,5,f51a9b9adbbe29064029b51c046111e116714586d83c25dbc664713838874fab,432623c8dc940c35ba07e146b29237915ccf045a3807730fd32370ac0e152f57,True,True,True,True
attack,6,3457d09d696f2afbb74eeb3286aa60337c227d2d7aaa84936b915500f77e905d,1693266d70eb53c2008d54edcd099f634fda685a3b28426ca8e28eae808ac9b2,True,True,True,True
attack,7,77a10a06da4eef46c6068a7ebcb2aa17d33ee68cf0ea780aa2b053a23ea2431c,f0673d0d0ebacef990a98520f9b520d7ae7a68a63d0bd29674c9bc0bad1d2ca1,True,True,True,True
attack,8,1a6e063f3afbe2b5f86db36bb61799735ca28489981dd05c2747e0a577371507,66e54852be3a3bef88d01886a8d403437341064aeed7093009891445d779eb7b,True,True,True,True
attack,9,b2cddb87da360b52257462571bc5040a9cee6e89282884216349e44212995e69,d93a825867476db44292104c3319a8fabae8a1c36f05f9e743a24d72c578f60b,True,True,True,True
attack,10,e342f52bf8adb924290c5d4795abffe3771d94bfaf20cb7901e6c56cd50529bb,4681687c8e68f8bd99de12f9712fd46f254e92f5cafa4e196b4196ce60655272,True,True,True,True
attack,11,d82baf9e87de6f7fb10c59ef4824eff605e0a619079407f40203f9116aa00196,752e782eeaef11dc277ad43f616db57004da24fa079066d7c2c72347c28138f5,True,True,True,True
attack,12,0a33a9029dc3506c57d9a1fa431e9d4739ffc652e40f6d0f05a487a0c1c4ba17,e5d54d93de07ee5afdf0b2fbc2720d1614a8579ac5cf59220f2882afa51b0ca9,True,True,True,True
attack,13,dcc0da84af81b4324d940faebbf60b39f1f0fa5a9fc09bd32d87754cec3e032d,5ce181b3665eea2a4944058cfba69c44fca8fff8b76080bdc872ba3e392687f4,True,True,True,True
attack,14,2e5ff2382f9dbb5f4b050ce0410be2184f1c8dd376b4ecdec06fb358d334e15f,f24ec6d86af4edeee854e7e50aad2c041ac2a2b7ce16f275eb9485121525e5a3,True,True,True,True
attack,15,fadd175a346240bd14a9c5df2ad892b42a5f91ae4340ea898508d6858f9c6e8d,b109a6f6a5081e0b0929b8e286ce712d30581f5127c77f3da300a8ce021c3b99,True,True,True,True
attack,16,d268870355fd96e313d7b8fed150404be268fa33813c2ca149956c5b1c078a5c,84483ba67efc47cc83ec908bd9304bcc1ddd784ddb8cabe21f9ac3ad5c7d36fa,True,True,True,True
attack,17,0b08d5a6ac0bede467d7d405a186ae6107122159151e4a37330f6b62f6149b04,2cdd3a56024e988c9dd6951c520b749ee066f8a9baf2addbb2df946ba40a7171,True,True,True,True
attack,18,546c9ed88cad176904effacdadfd4f7bb1e09da46892fecaa9660f7bcba4f821,12ff3ed272c9f0b550539dc7a7f0e10385e900a8d6748a95ae4118b73046e3f7,True,True,True,True
attack,19,b2b96b7a2eff8b418b00593cfc3b0963553c813c89d3fb6d602541b0e1f1a112,37f23c02606670f711a0affc9cd2156c967515fc1d48ef5c101abaa60ae7a5ee,True,True,True,True
attack,20,e5c0fb2aa3431501a036a49c66d7acc0c52cd653f69b339d126e10e8b8b7d3e3,e145b70a59690581d30f1e5b92717c744df865d1f48782e572e37b89b7f92db2,True,True,True,True
attack,21,93285451f91fba125840e8811a3699c960015e31d8e96337c5763111353b6c0d,735ae2da7eb147cb6769a0efac836e587da90606e431d2ea08397ae572cdcbe4,True,True,True,True
