split,selected_a,selected_b,selected_calibration_objective,identity_reused_mean_ece,selected_reused_mean_ece,reused_paired_reduction,identity_evaluation_ece,selected_evaluation_ece,evaluation_paired_reduction
0,0.0,0.20000000000000018,0.048729249664059775,0.1824963863351595,0.04872924966405979,0.13376713667109968,0.01968275391623933,0.05373399731254158,-0.03405124339630225
1,0.0,0.0,0.06500000000000002,0.18468309641403152,0.065,0.11968309641403152,0.011194642531463832,0.0024,0.008794642531463833
2,0.0,0.0,0.07625000000000001,0.16211754915801202,0.07625000000000001,0.08586754915801201,0.014975379006872168,0.0024,0.012575379006872169
3,0.0,0.0,0.04874999999999999,0.17633524517339988,0.04875,0.1275852451733999,0.012537291896183323,0.0015,0.011037291896183323
4,0.0,0.0,0.05125000000000001,0.1721814997367735,0.051250000000000004,0.12093149973677347,0.015033459815167374,0.0031,0.011933459815167373
5,0.0,0.0,0.05000000000000001,0.1674352141133133,0.05,0.1174352141133133,0.014248617927259745,0.0016,0.012648617927259744
6,0.0,-0.19999999999999996,0.05875,0.17674298835478236,0.05875,0.11799298835478236,0.01258459514037143,0.04663399731248064,-0.03404940217210921
7,0.0,0.0,0.04625,0.18418087498444805,0.046250000000000006,0.13793087498444803,0.01062047583253015,0.0026,0.00802047583253015
8,0.0,0.0,0.04625,0.17186781946347882,0.04625,0.12561781946347877,0.011690483715336798,0.0006,0.011090483715336798
9,0.0,0.0,0.06250000000000001,0.18177569154963003,0.0625,0.11927569154963004,0.013231951804702309,0.0002,0.013031951804702308
10,0.0,0.0,0.04875,0.17095429350082253,0.04875,0.12220429350082253,0.012381942816004137,0.0016,0.010781942816004137
11,0.0,0.20000000000000018,0.06752075033594021,0.17075302887588054,0.06752075033594021,0.10323227853994033,0.011502576427932714,0.05553399731254158,-0.04403142088460886
12,0.0,0.0,0.05,0.17762264249668436,0.05,0.12762264249668434,0.013088160586236035,0.0093,0.003788160586236036
13,0.0,-0.19999999999999996,0.0562084993281195,0.16263703111809238,0.05620849932811952,0.10642853178997284,0.011318084413878387,0.05793399731248064,-0.04661591289860225
14,0.0,0.0,0.04375,0.1552068894896957,0.04375,0.1114568894896957,0.012794567031771249,0.004,0.008794567031771248
15,0.0,0.0,0.04375,0.17438131953635255,0.043750000000000004,0.13063131953635257,0.005771929737798327,0.0077,-0.0019280702622016732
16,0.0,0.0,0.05250000000000001,0.15522286940667207,0.052500000000000005,0.10272286940667205,0.014070578196085764,0.003,0.011070578196085763
17,0.0,0.0,0.0475,0.1647623972960108,0.0475,0.11726239729601082,0.011192853273495607,0.0017,0.009492853273495607
18,0.0,0.0,0.052500000000000005,0.163228291082113,0.052500000000000005,0.110728291082113,0.01452720638303316,0.0017,0.01282720638303316
19,0.0,0.0,0.03125000000000001,0.15928736326919712,0.03125,0.12803736326919712,0.01088654115475835,0.0007,0.01018654115475835
20,0.0,0.20000000000000018,0.04745849932811957,0.17428558362452107,0.04745849932811957,0.12682708429640152,0.013948598214361561,0.04593399731254158,-0.03198539909818002
21,0.0,0.0,0.053750000000000006,0.16480662875850804,0.053750000000000006,0.11105662875850807,0.011958247384968066,0.0017,0.010258247384968066
22,0.0,-0.19999999999999996,0.07375,0.1811568269649379,0.07375000000000001,0.10740682696493792,0.01188740433234559,0.04803399731248064,-0.03614659298013505
23,0.0,0.0,0.051250000000000004,0.1807013119640863,0.05125,0.1294513119640863,0.011538526143402743,0.0078,0.0037385261434027435
24,0.0,0.0,0.05250000000000001,0.18039827563808303,0.0525,0.12789827563808304,0.013299062343986132,0.0092,0.004099062343986132
25,0.0,0.0,0.06,0.1647459905275409,0.06,0.10474599052754091,0.012623274149600286,0.0054,0.007223274149600285
26,0.0,0.0,0.06,0.17681479321215893,0.06,0.11681479321215893,0.009991201465254734,0.0035,0.006491201465254734
27,0.0,0.0,0.0575,0.1640396357400271,0.0575,0.10653963574002712,0.011217093580803299,0.0001,0.0111170935808033
28,0.0,0.0,0.043750000000000004,0.15736248109563356,0.04375,0.11361248109563354,0.009062235404297724,0.0026,0.006462235404297724
29,0.0,0.0,0.04,0.17266871269793754,0.04,0.13266871269793756,0.009508576412717571,0.0013,0.00820857641271757
30,0.0,-0.19999999999999996,0.04618774899217927,0.16321314884679355,0.046187748992179284,0.11702539985461424,0.012820360678231398,0.04803399731248064,-0.03521363663424924
31,0.0,0.0,0.06624999999999999,0.16943208305752527,0.06625,0.10318208305752527,0.010277582748584615,0.0028,0.007477582748584614
32,0.0,0.0,0.0475,0.18681058769224204,0.0475,0.13931058769224203,0.01175728802148662,0.0018,0.00995728802148662
33,0.0,0.0,0.08499999999999999,0.15397780615040702,0.085,0.068977806150407,0.005593816691653562,0.0007,0.004893816691653562
34,0.0,0.0,0.036250000000000004,0.17135675797019925,0.036250000000000004,0.13510675797019925,0.01150681854714788,0.0046,0.006906818547147879
35,0.0,0.0,0.06625,0.18136859107950615,0.06625,0.11511859107950616,0.01590696615546504,0.0051,0.010806966155465041
36,0.0,0.0,0.046250000000000006,0.17976511358816852,0.04625,0.13351511358816853,0.013474648709533028,0.0125,0.0009746487095330277
37,0.0,0.0,0.061250000000000006,0.17156059967926612,0.061250000000000006,0.1103105996792661,0.011182915915457801,0.0071,0.004082915915457801
