configuration,seed,step,train_accuracy,train_cross_entropy,test_accuracy,centered_logit_rms,total_parameter_norm
"A(p=17,f=0.40,h=128,lr=0.01,wd=1.0,max=40000)",11,0,0.043478260869565216,2.836169719696045,0.034482758620689655,0.019605228677392006,9.539237201973625
"A(p=17,f=0.40,h=128,lr=0.01,wd=1.0,max=40000)",11,20,1.0,0.3380544185638428,0.0,2.3965272903442383,21.76413436485804
"A(p=17,f=0.40,h=128,lr=0.01,wd=1.0,max=40000)",11,40,1.0,0.0028298282995820045,0.0,4.866635322570801,29.05050950235089
"A(p=17,f=0.40,h=128,lr=0.01,wd=1.0,max=40000)",11,60,1.0,0.009777444414794445,0.0,3.690608263015747,26.640569431737134
"A(p=17,f=0.40,h=128,lr=0.01,wd=1.0,max=40000)",11,80,1.0,0.016827676445245743,0.0,3.1276116371154785,25.02260310375338
"A(p=17,f=0.40,h=128,lr=0.01,wd=1.0,max=40000)",11,100,1.0,0.008872102946043015,0.0,3.1952643394470215,25.246990159531745
"A(p=17,f=0.40,h=128,lr=0.01,wd=1.0,max=40000)",11,120,1.0,0.007172754500061274,0.0,3.1275484561920166,25.131954624886646
"A(p=17,f=0.40,h=128,lr=0.01,wd=1.0,max=40000)",11,140,1.0,0.005451276432722807,0.0,3.13678240776062,25.185132172880273
"A(p=17,f=0.40,h=128,lr=0.01,wd=1.0,max=40000)",11,160,1.0,0.004185415804386139,0.0,3.1709470748901367,25.293057883292498
"A(p=17,f=0.40,h=128,lr=0.01,wd=1.0,max=40000)",11,180,1.0,0.0032895056065171957,0.0,3.215667724609375,25.414381375015843
"A(p=17,f=0.40,h=128,lr=0.01,wd=1.0,max=40000)",11,200,1.0,0.0025983976665884256,0.0,3.2745718955993652,25.56032195521192
"A(p=17,f=0.40,h=128,lr=0.01,wd=1.0,max=40000)",11,220,1.0,0.002065051579847932,0.0,3.3397834300994873,25.714808603522975
"A(p=17,f=0.40,h=128,lr=0.01,wd=1.0,max=40000)",11,240,1.0,0.0016610503662377596,0.0,3.4070334434509277,25.872585258008044
"A(p=17,f=0.40,h=128,lr=0.01,wd=1.0,max=40000)",11,260,1.0,0.0013386351056396961,0.0,3.47613263130188,26.037642912203676
"A(p=17,f=0.40,h=128,lr=0.01,wd=1.0,max=40000)",11,280,1.0,0.0010846852092072368,0.0,3.5479776859283447,26.202951218520163
"A(p=17,f=0.40,h=128,lr=0.01,wd=1.0,max=40000)",11,300,1.0,0.0008792545995675027,0.0,3.6236958503723145,26.366459395718252
"A(p=17,f=0.40,h=128,lr=0.01,wd=1.0,max=40000)",11,320,1.0,0.0007158919470384717,0.0,3.689934492111206,26.52280977202695
"A(p=17,f=0.40,h=128,lr=0.01,wd=1.0,max=40000)",11,340,1.0,0.0005844863480888307,0.0,3.7515499591827393,26.67849759952331
"A(p=17,f=0.40,h=128,lr=0.01,wd=1.0,max=40000)",11,360,1.0,0.0004773530818056315,0.0,3.8160383701324463,26.83381270518647
"A(p=17,f=0.40,h=128,lr=0.01,wd=1.0,max=40000)",11,380,1.0,0.00039025270962156355,0.0,3.883321762084961,26.986439253728324
"A(p=17,f=0.40,h=128,lr=0.01,wd=1.0,max=40000)",11,400,1.0,0.00031929262331686914,0.0,3.9484751224517822,27.135585287607178
