fixture,gap_stratum,a_minus_b_heldout_gap,baseline_a_frequency,comparison_a_frequency,a_frequency_difference,baseline_mean_heldout_accuracy,comparison_mean_heldout_accuracy,baseline_minus_comparison_heldout_shift,theoretical_heldout_shift,validation_tie_integrity
0,A-B=+0.10,0.1,0.902,0.489,0.413,0.7902,0.7489,0.0413,0.0388888888889,True
1,A-B=+0.10,0.1,0.88,0.48,0.4,0.788,0.748,0.04,0.0388888888889,True
2,A-B=+0.10,0.1,0.866,0.492,0.374,0.7866,0.7492,0.0374,0.0388888888889,True
3,A-B=+0.10,0.1,0.875,0.488,0.387,0.7875,0.7488,0.0387,0.0388888888889,True
4,A-B=+0.10,0.1,0.888,0.479,0.409,0.7888,0.7479,0.0409,0.0388888888889,True
5,A-B=+0.10,0.1,0.886,0.502,0.384,0.7886,0.7502,0.0384,0.0388888888889,True
6,A-B=+0.10,0.1,0.872,0.496,0.376,0.7872,0.7496,0.0376,0.0388888888889,True
7,A-B=+0.10,0.1,0.885,0.502,0.383,0.7885,0.7502,0.0383,0.0388888888889,True
8,A-B=+0.10,0.1,0.875,0.486,0.389,0.7875,0.7486,0.0389,0.0388888888889,True
9,A-B=+0.10,0.1,0.882,0.521,0.361,0.7882,0.7521,0.0361,0.0388888888889,True
10,A-B=+0.02,0.02,0.909,0.501,0.408,0.79818,0.79002,0.00816,0.00777777777778,True
11,A-B=+0.02,0.02,0.89,0.53,0.36,0.7978,0.7906,0.0072,0.00777777777778,True
12,A-B=+0.02,0.02,0.89,0.483,0.407,0.7978,0.78966,0.00814,0.00777777777778,True
13,A-B=+0.02,0.02,0.883,0.499,0.384,0.79766,0.78998,0.00768,0.00777777777778,True
14,A-B=+0.02,0.02,0.874,0.504,0.37,0.79748,0.79008,0.0074,0.00777777777778,True
15,A-B=+0.02,0.02,0.883,0.489,0.394,0.79766,0.78978,0.00788,0.00777777777778,True
16,A-B=+0.02,0.02,0.894,0.498,0.396,0.79788,0.78996,0.00792,0.00777777777778,True
17,A-B=+0.02,0.02,0.9,0.5,0.4,0.798,0.79,0.008,0.00777777777778,True
18,A-B=+0.02,0.02,0.896,0.508,0.388,0.79792,0.79016,0.00776,0.00777777777778,True
19,A-B=+0.02,0.02,0.889,0.482,0.407,0.79778,0.78964,0.00814,0.00777777777778,True
20,A-B=-0.02,-0.02,0.874,0.507,0.367,0.80252,0.80986,-0.00734,-0.00777777777778,True
21,A-B=-0.02,-0.02,0.887,0.497,0.39,0.80226,0.81006,-0.0078,-0.00777777777778,True
22,A-B=-0.02,-0.02,0.898,0.485,0.413,0.80204,0.8103,-0.00826,-0.00777777777778,True
23,A-B=-0.02,-0.02,0.87,0.493,0.377,0.8026,0.81014,-0.00754,-0.00777777777778,True
24,A-B=-0.02,-0.02,0.885,0.489,0.396,0.8023,0.81022,-0.00792,-0.00777777777778,True
25,A-B=-0.02,-0.02,0.891,0.503,0.388,0.80218,0.80994,-0.00776,-0.00777777777778,True
26,A-B=-0.02,-0.02,0.902,0.5,0.402,0.80196,0.81,-0.00804,-0.00777777777778,True
27,A-B=-0.02,-0.02,0.884,0.499,0.385,0.80232,0.81002,-0.0077,-0.00777777777778,True
28,A-B=-0.02,-0.02,0.872,0.496,0.376,0.80256,0.81008,-0.00752,-0.00777777777778,True
29,A-B=-0.02,-0.02,0.887,0.502,0.385,0.80226,0.80996,-0.0077,-0.00777777777778,True
30,A-B=-0.10,-0.1,0.88,0.507,0.373,0.812,0.8493,-0.0373,-0.0388888888889,True
31,A-B=-0.10,-0.1,0.903,0.508,0.395,0.8097,0.8492,-0.0395,-0.0388888888889,True
32,A-B=-0.10,-0.1,0.893,0.507,0.386,0.8107,0.8493,-0.0386,-0.0388888888889,True
33,A-B=-0.10,-0.1,0.881,0.503,0.378,0.8119,0.8497,-0.0378,-0.0388888888889,True
34,A-B=-0.10,-0.1,0.872,0.507,0.365,0.8128,0.8493,-0.0365,-0.0388888888889,True
35,A-B=-0.10,-0.1,0.89,0.541,0.349,0.811,0.8459,-0.0349,-0.0388888888889,True
36,A-B=-0.10,-0.1,0.892,0.506,0.386,0.8108,0.8494,-0.0386,-0.0388888888889,True
37,A-B=-0.10,-0.1,0.886,0.499,0.387,0.8114,0.8501,-0.0387,-0.0388888888889,True
38,A-B=-0.10,-0.1,0.889,0.516,0.373,0.8111,0.8484,-0.0373,-0.0388888888889,True
39,A-B=-0.10,-0.1,0.893,0.482,0.411,0.8107,0.8518,-0.0411,-0.0388888888889,True
