fixture,repetition,method,selected_identifier,selected_family,semantic_signature,validation_accuracy,heldout_accuracy,gap_stratum,a_minus_b_heldout_gap
0,0,first_encountered,A_1,A,A_semantic_0,0.8,0.8,A-B=+0.10,0.1
0,1,first_encountered,A_3,A,A_semantic_0,0.8,0.8,A-B=+0.10,0.1
0,2,first_encountered,A_6,A,A_semantic_0,0.8,0.8,A-B=+0.10,0.1
0,3,first_encountered,A_1,A,A_semantic_0,0.8,0.8,A-B=+0.10,0.1
0,4,first_encountered,A_3,A,A_semantic_0,0.8,0.8,A-B=+0.10,0.1
0,5,first_encountered,B_0,B,B_semantic_0,0.8,0.7,A-B=+0.10,0.1
0,6,first_encountered,A_6,A,A_semantic_0,0.8,0.8,A-B=+0.10,0.1
0,7,first_encountered,A_1,A,A_semantic_0,0.8,0.8,A-B=+0.10,0.1
0,8,first_encountered,A_5,A,A_semantic_0,0.8,0.8,A-B=+0.10,0.1
0,9,first_encountered,A_6,A,A_semantic_0,0.8,0.8,A-B=+0.10,0.1
0,10,first_encountered,A_0,A,A_semantic_0,0.8,0.8,A-B=+0.10,0.1
0,11,first_encountered,A_1,A,A_semantic_0,0.8,0.8,A-B=+0.10,0.1
0,12,first_encountered,A_4,A,A_semantic_0,0.8,0.8,A-B=+0.10,0.1
0,13,first_encountered,A_6,A,A_semantic_0,0.8,0.8,A-B=+0.10,0.1
0,14,first_encountered,B_0,B,B_semantic_0,0.8,0.7,A-B=+0.10,0.1
0,15,first_encountered,A_3,A,A_semantic_0,0.8,0.8,A-B=+0.10,0.1
0,16,first_encountered,A_2,A,A_semantic_0,0.8,0.8,A-B=+0.10,0.1
0,17,first_encountered,A_0,A,A_semantic_0,0.8,0.8,A-B=+0.10,0.1
0,18,first_encountered,B_0,B,B_semantic_0,0.8,0.7,A-B=+0.10,0.1
0,19,first_encountered,A_7,A,A_semantic_0,0.8,0.8,A-B=+0.10,0.1
0,20,first_encountered,B_0,B,B_semantic_0,0.8,0.7,A-B=+0.10,0.1
0,21,first_encountered,A_3,A,A_semantic_0,0.8,0.8,A-B=+0.10,0.1
0,22,first_encountered,A_5,A,A_semantic_0,0.8,0.8,A-B=+0.10,0.1
0,23,first_encountered,A_7,A,A_semantic_0,0.8,0.8,A-B=+0.10,0.1
0,24,first_encountered,A_5,A,A_semantic_0,0.8,0.8,A-B=+0.10,0.1
0,25,first_encountered,A_0,A,A_semantic_0,0.8,0.8,A-B=+0.10,0.1
0,26,first_encountered,A_7,A,A_semantic_0,0.8,0.8,A-B=+0.10,0.1
0,27,first_encountered,A_6,A,A_semantic_0,0.8,0.8,A-B=+0.10,0.1
0,28,first_encountered,A_1,A,A_semantic_0,0.8,0.8,A-B=+0.10,0.1
0,29,first_encountered,A_6,A,A_semantic_0,0.8,0.8,A-B=+0.10,0.1
0,30,first_encountered,A_0,A,A_semantic_0,0.8,0.8,A-B=+0.10,0.1
0,31,first_encountered,A_5,A,A_semantic_0,0.8,0.8,A-B=+0.10,0.1
0,32,first_encountered,A_3,A,A_semantic_0,0.8,0.8,A-B=+0.10,0.1
0,33,first_encountered,A_7,A,A_semantic_0,0.8,0.8,A-B=+0.10,0.1
0,34,first_encountered,A_7,A,A_semantic_0,0.8,0.8,A-B=+0.10,0.1
0,35,first_encountered,A_7,A,A_semantic_0,0.8,0.8,A-B=+0.10,0.1
