k,n,mask_type,implementation,round,repetitions,elapsed_ns,ns_per_call
17,131072,random_50pct,numpy,0,507,21736042,42871.87771203156
17,131072,random_50pct,python,0,2,23135792,11567896.0
2,4,all_true,python,0,36901,20699916,560.9581312159562
2,4,all_true,numpy,0,36901,17942709,486.23909921140347
3,8,random_50pct,python,0,23981,21348500,890.2255952629165
3,8,random_50pct,numpy,0,36901,18260917,494.86238855315577
14,16384,random_50pct,python,0,15,20674583,1378305.5333333334
14,16384,random_50pct,numpy,0,3583,19890958,5551.481440133966
6,64,random_50pct,python,0,4175,21928958,5252.44502994012
6,64,random_50pct,numpy,0,36901,18848000,510.7720657976749
1,2,all_true,numpy,0,34247,16438125,479.98729815750283
1,2,all_true,python,0,47962,18043667,376.2075601517868
14,16384,all_true,numpy,0,3556,19859458,5584.7744656917885
14,16384,all_true,python,0,16,20991042,1311940.125
12,4096,all_true,python,0,61,19824209,324987.0327868852
12,4096,all_true,numpy,0,10912,19661666,1801.8388929618768
4,16,all_true,python,0,15004,21354667,1423.2649293521727
4,16,all_true,numpy,0,36901,18883209,511.72621338175117
5,32,random_50pct,numpy,0,36901,18900958,512.2072030568278
5,32,random_50pct,python,0,7868,21796042,2770.213777325877
11,2048,random_50pct,python,0,128,21750750,169927.734375
11,2048,random_50pct,numpy,0,16543,19001875,1148.6353744786315
19,524288,all_true,numpy,0,130,20401625,156935.57692307694
19,524288,all_true,python,0,1,41269958,41269958.0
2,4,random_50pct,python,0,36901,19930292,540.1016774613154
2,4,random_50pct,numpy,0,34306,21181750,617.435725529062
7,128,random_50pct,python,0,2106,21398542,10160.751187084521
7,128,random_50pct,numpy,0,32000,18749625,585.92578125
9,512,all_true,python,0,543,21294459,39216.31491712707
9,512,all_true,numpy,0,28249,20414542,722.6642359021558
13,8192,all_true,numpy,0,6316,18945041,2999.5315072830904
13,8192,all_true,python,0,31,19891792,641670.7096774194
16,65536,random_50pct,python,0,4,21620666,5405166.5
16,65536,random_50pct,numpy,0,994,20722875,20847.96277665996
8,256,random_50pct,numpy,0,32000,20903125,653.22265625
8,256,random_50pct,python,0,1072,21837625,20370.918843283584
1,2,random_50pct,numpy,0,22858,15240417,666.7432408784671
1,2,random_50pct,python,0,32000,12266084,383.315125
18,262144,random_50pct,numpy,0,257,23342000,90824.9027237354
18,262144,random_50pct,python,0,1,26290042,26290042.0
8,256,all_true,python,0,1127,21116917,18737.282165039927
8,256,all_true,numpy,0,32000,19403125,606.34765625
12,4096,random_50pct,python,0,59,20039833,339658.18644067796
12,4096,random_50pct,numpy,0,9795,18440500,1882.6442062276672
16,65536,all_true,python,0,4,21178583,5294645.75
16,65536,all_true,numpy,0,1000,21719792,21719.792
15,32768,all_true,numpy,0,1928,20323166,10541.061203319503
15,32768,all_true,python,0,8,20861292,2607661.5
7,128,all_true,python,0,2223,21113292,9497.657219973009
7,128,all_true,numpy,0,34247,19137167,558.7983473004934
10,1024,random_50pct,python,0,257,21367417,83141.70038910506
10,1024,random_50pct,numpy,0,21811,18661875,855.6175782861859
6,64,all_true,numpy,0,34306,17437084,508.28088381041215
6,64,all_true,python,0,4325,21132709,4886.17549132948
3,8,all_true,numpy,0,40000,19460416,486.5104
3,8,all_true,python,0,24010,19536083,813.6644314868805
5,32,all_true,numpy,0,36901,18155875,492.0157990298366
5,32,all_true,python,0,8275,21266083,2569.919395770393
18,262144,all_true,python,0,1,21301750,21301750.0
18,262144,all_true,numpy,0,257,22893958,89081.5486381323
10,1024,all_true,python,0,266,22266083,83707.07894736843
10,1024,all_true,numpy,0,22858,19698750,861.7879954501706
19,524288,random_50pct,numpy,0,118,18519166,156942.08474576272
19,524288,random_50pct,python,0,1,49299750,49299750.0
20,1048576,random_50pct,python,0,1,86201959,86201959.0
20,1048576,random_50pct,numpy,0,49,16890417,344702.387755102
4,16,random_50pct,numpy,0,34306,16733875,487.78274937328746
4,16,random_50pct,python,0,14546,21170791,1455.4373023511619
11,2048,all_true,numpy,0,16557,18816375,1136.4604094944737
11,2048,all_true,python,0,132,21160834,160309.34848484848
13,8192,random_50pct,python,0,30,20283666,676122.2
13,8192,random_50pct,numpy,0,5647,19105625,3383.323003364618
15,32768,random_50pct,python,0,8,21485875,2685734.375
15,32768,random_50pct,numpy,0,1913,28137167,14708.398849973863
17,131072,all_true,python,0,2,24855125,12427562.5
17,131072,all_true,numpy,0,513,28465500,55488.304093567254
9,512,random_50pct,python,0,516,21798333,42244.83139534884
9,512,random_50pct,numpy,0,26667,18974541,711.5363932950838
20,1048576,all_true,python,0,1,87434750,87434750.0
20,1048576,all_true,numpy,0,56,18066958,322624.25
15,32768,random_50pct,numpy,1,1913,19738583,10318.130162049138
15,32768,random_50pct,python,1,8,21613375,2701671.875
